input	group	bin_idx_orig	bin_name	modeled_in_input	in_modeled_union	signal
raw	pos	7561	chr1:7561000-7562000	1	1	1
raw	pos	7647	chr1:7647000-7648000	1	0	0
raw	pos	7667	chr1:7667000-7668000	1	1	3
raw	pos	7669	chr1:7669000-7670000	1	1	1
raw	pos	7975	chr1:7975000-7976000	1	0	0
raw	pos	7982	chr1:7982000-7983000	1	1	0
raw	pos	8314	chr1:8314000-8315000	1	1	0
raw	pos	8349	chr1:8349000-8350000	1	1	3
raw	pos	8351	chr1:8351000-8352000	1	1	1
raw	pos	8352	chr1:8352000-8353000	1	1	0
raw	pos	8671	chr1:8671000-8672000	1	1	1
raw	pos	8848	chr1:8848000-8849000	1	1	1
raw	pos	8849	chr1:8849000-8850000	1	0	0
raw	pos	8862	chr1:8862000-8863000	1	1	1
raw	pos	8962	chr1:8962000-8963000	1	1	1
raw	pos	8963	chr1:8963000-8964000	1	1	1
raw	pos	8988	chr1:8988000-8989000	1	1	1
raw	pos	9005	chr1:9005000-9006000	1	1	2
raw	pos	9142	chr1:9142000-9143000	1	1	4
raw	pos	9181	chr1:9181000-9182000	1	1	2
raw	pos	9267	chr1:9267000-9268000	1	1	2
raw	pos	9289	chr1:9289000-9290000	1	1	0
raw	pos	9455	chr1:9455000-9456000	1	1	3
raw	pos	9456	chr1:9456000-9457000	1	1	0
raw	pos	9491	chr1:9491000-9492000	1	0	0
raw	pos	9495	chr1:9495000-9496000	1	1	1
raw	pos	9615	chr1:9615000-9616000	1	1	2
raw	pos	9627	chr1:9627000-9628000	1	1	4
raw	pos	9721	chr1:9721000-9722000	1	1	2
raw	pos	9722	chr1:9722000-9723000	1	1	1
raw	pos	9725	chr1:9725000-9726000	1	1	2
raw	pos	9784	chr1:9784000-9785000	1	1	1
raw	pos	9867	chr1:9867000-9868000	1	1	2
raw	pos	9874	chr1:9874000-9875000	1	1	1
raw	pos	9875	chr1:9875000-9876000	1	1	3
raw	pos	9950	chr1:9950000-9951000	1	1	0
raw	pos	10210	chr1:10210000-10211000	1	1	5
raw	pos	10430	chr1:10430000-10431000	1	1	2
raw	pos	10494	chr1:10494000-10495000	1	0	0
raw	pos	10507	chr1:10507000-10508000	1	1	0
raw	pos	10942	chr1:10942000-10943000	1	1	1
raw	pos	10961	chr1:10961000-10962000	1	1	1
raw	pos	11037	chr1:11037000-11038000	1	1	1
raw	pos	11337	chr1:11337000-11338000	1	1	1
raw	pos	11478	chr1:11478000-11479000	1	1	0
raw	pos	11642	chr1:11642000-11643000	1	1	2
raw	pos	11711	chr1:11711000-11712000	1	1	0
raw	pos	11719	chr1:11719000-11720000	1	1	1
raw	pos	11720	chr1:11720000-11721000	1	0	0
raw	pos	11785	chr1:11785000-11786000	1	1	1
raw	pos	11838	chr1:11838000-11839000	1	1	1
raw	pos	11839	chr1:11839000-11840000	1	1	1
raw	pos	11865	chr1:11865000-11866000	1	1	0
raw	pos	11893	chr1:11893000-11894000	1	1	0
raw	pos	11894	chr1:11894000-11895000	1	1	1
raw	pos	11907	chr1:11907000-11908000	1	1	2
raw	pos	11908	chr1:11908000-11909000	1	1	9
raw	pos	11967	chr1:11967000-11968000	1	1	2
raw	pos	12079	chr1:12079000-12080000	1	0	0
raw	pos	12106	chr1:12106000-12107000	1	1	0
raw	pos	12107	chr1:12107000-12108000	1	1	1
raw	pos	12118	chr1:12118000-12119000	1	1	0
raw	pos	12124	chr1:12124000-12125000	1	1	2
raw	pos	12125	chr1:12125000-12126000	1	1	0
raw	pos	12208	chr1:12208000-12209000	1	1	1
raw	pos	12209	chr1:12209000-12210000	1	1	1
raw	pos	12229	chr1:12229000-12230000	1	1	0
raw	pos	12230	chr1:12230000-12231000	1	1	3
raw	pos	12275	chr1:12275000-12276000	1	1	0
raw	pos	12601	chr1:12601000-12602000	1	1	1
raw	pos	12619	chr1:12619000-12620000	1	1	0
raw	pos	12620	chr1:12620000-12621000	1	0	0
raw	pos	12659	chr1:12659000-12660000	1	0	0
raw	pos	12760	chr1:12760000-12761000	1	1	0
raw	pos	13665	chr1:13665000-13666000	1	0	0
raw	pos	13666	chr1:13666000-13667000	1	1	1
raw	pos	13811	chr1:13811000-13812000	1	1	0
raw	pos	13960	chr1:13960000-13961000	1	1	0
raw	pos	14731	chr1:14731000-14732000	1	1	0
raw	pos	14732	chr1:14732000-14733000	1	0	0
raw	pos	14779	chr1:14779000-14780000	1	1	1
raw	pos	14915	chr1:14915000-14916000	1	1	0
raw	pos	15027	chr1:15027000-15028000	1	1	0
raw	pos	15046	chr1:15046000-15047000	1	1	1
raw	pos	15128	chr1:15128000-15129000	1	1	1
raw	pos	15154	chr1:15154000-15155000	1	1	4
raw	pos	15323	chr1:15323000-15324000	1	1	2
raw	pos	15431	chr1:15431000-15432000	1	1	2
raw	pos	15501	chr1:15501000-15502000	1	1	1
raw	pos	15741	chr1:15741000-15742000	1	1	1
raw	pos	16009	chr1:16009000-16010000	1	1	0
raw	pos	16032	chr1:16032000-16033000	1	1	2
raw	pos	16033	chr1:16033000-16034000	1	1	1
raw	pos	16056	chr1:16056000-16057000	1	1	1
raw	pos	16078	chr1:16078000-16079000	1	1	1
raw	pos	16079	chr1:16079000-16080000	1	1	2
raw	pos	16187	chr1:16187000-16188000	1	1	1
raw	pos	16188	chr1:16188000-16189000	1	1	0
raw	pos	16363	chr1:16363000-16364000	1	1	0
raw	pos	16624	chr1:16624000-16625000	1	1	1
raw	pos	16625	chr1:16625000-16626000	1	1	1
raw	pos	16947	chr1:16947000-16948000	1	0	0
raw	pos	16960	chr1:16960000-16961000	1	1	3
raw	pos	16961	chr1:16961000-16962000	1	1	1
raw	pos	17046	chr1:17046000-17047000	1	1	0
raw	pos	17059	chr1:17059000-17060000	1	1	0
raw	pos	17125	chr1:17125000-17126000	1	1	1
raw	pos	17126	chr1:17126000-17127000	1	0	0
raw	pos	17274	chr1:17274000-17275000	1	1	0
raw	pos	17406	chr1:17406000-17407000	1	0	0
raw	pos	17419	chr1:17419000-17420000	1	1	1
raw	pos	17420	chr1:17420000-17421000	1	1	1
raw	pos	17477	chr1:17477000-17478000	1	1	1
raw	pos	17494	chr1:17494000-17495000	1	1	1
raw	pos	17502	chr1:17502000-17503000	1	1	4
raw	pos	17606	chr1:17606000-17607000	1	1	1
raw	pos	17607	chr1:17607000-17608000	1	1	0
raw	pos	17653	chr1:17653000-17654000	1	1	1
raw	pos	17654	chr1:17654000-17655000	1	1	1
raw	pos	17661	chr1:17661000-17662000	1	1	1
raw	pos	17826	chr1:17826000-17827000	1	1	1
raw	pos	17984	chr1:17984000-17985000	1	0	0
raw	pos	18234	chr1:18234000-18235000	1	0	0
raw	pos	18235	chr1:18235000-18236000	1	0	0
raw	pos	18299	chr1:18299000-18300000	1	1	0
raw	pos	18300	chr1:18300000-18301000	1	1	0
raw	pos	18373	chr1:18373000-18374000	1	1	0
raw	pos	18374	chr1:18374000-18375000	1	1	0
raw	pos	18486	chr1:18486000-18487000	1	0	0
raw	pos	18581	chr1:18581000-18582000	1	1	1
raw	pos	18597	chr1:18597000-18598000	1	1	2
raw	pos	18681	chr1:18681000-18682000	1	1	0
raw	pos	18875	chr1:18875000-18876000	1	1	2
raw	pos	18884	chr1:18884000-18885000	1	1	1
raw	pos	18907	chr1:18907000-18908000	1	1	0
raw	pos	18913	chr1:18913000-18914000	1	0	0
raw	pos	19241	chr1:19241000-19242000	1	0	0
raw	pos	19341	chr1:19341000-19342000	1	1	2
raw	pos	19582	chr1:19582000-19583000	1	1	0
raw	pos	19651	chr1:19651000-19652000	1	1	1
raw	pos	19659	chr1:19659000-19660000	1	1	1
raw	pos	19660	chr1:19660000-19661000	1	1	2
raw	pos	19704	chr1:19704000-19705000	1	1	1
raw	pos	19715	chr1:19715000-19716000	1	1	3
raw	pos	20195	chr1:20195000-20196000	1	1	1
raw	pos	20376	chr1:20376000-20377000	1	1	0
raw	pos	20377	chr1:20377000-20378000	1	1	0
raw	pos	20493	chr1:20493000-20494000	1	0	0
raw	pos	20494	chr1:20494000-20495000	1	1	1
raw	pos	20522	chr1:20522000-20523000	1	1	1
raw	pos	20633	chr1:20633000-20634000	1	1	2
raw	pos	21216	chr1:21216000-21217000	1	0	0
raw	pos	21217	chr1:21217000-21218000	1	1	4
raw	pos	21245	chr1:21245000-21246000	1	1	1
raw	pos	21334	chr1:21334000-21335000	1	1	0
raw	pos	21368	chr1:21368000-21369000	1	1	0
raw	pos	21509	chr1:21509000-21510000	1	1	2
raw	pos	21595	chr1:21595000-21596000	1	1	2
raw	pos	21703	chr1:21703000-21704000	1	1	2
raw	pos	21964	chr1:21964000-21965000	1	0	0
raw	pos	22105	chr1:22105000-22106000	1	1	1
raw	pos	22131	chr1:22131000-22132000	1	1	0
raw	pos	22132	chr1:22132000-22133000	1	1	1
raw	pos	22275	chr1:22275000-22276000	1	1	2
raw	pos	22276	chr1:22276000-22277000	1	1	0
raw	pos	22317	chr1:22317000-22318000	1	1	1
raw	pos	22416	chr1:22416000-22417000	1	1	0
raw	pos	22420	chr1:22420000-22421000	1	0	0
raw	pos	22642	chr1:22642000-22643000	1	1	1
raw	pos	22704	chr1:22704000-22705000	1	1	1
raw	pos	22862	chr1:22862000-22863000	1	1	2
raw	pos	22964	chr1:22964000-22965000	1	1	0
raw	pos	23098	chr1:23098000-23099000	1	1	0
raw	pos	23099	chr1:23099000-23100000	1	1	2
raw	pos	23497	chr1:23497000-23498000	1	0	0
raw	pos	23539	chr1:23539000-23540000	1	1	0
raw	pos	23540	chr1:23540000-23541000	1	1	2
raw	pos	23544	chr1:23544000-23545000	1	1	0
raw	pos	23637	chr1:23637000-23638000	1	1	1
raw	pos	23657	chr1:23657000-23658000	1	1	1
raw	pos	23658	chr1:23658000-23659000	1	1	1
raw	pos	23691	chr1:23691000-23692000	1	1	0
raw	pos	23718	chr1:23718000-23719000	1	1	1
raw	pos	23772	chr1:23772000-23773000	1	1	2
raw	pos	23809	chr1:23809000-23810000	1	1	0
raw	pos	23810	chr1:23810000-23811000	1	1	2
raw	pos	23868	chr1:23868000-23869000	1	1	3
raw	pos	24070	chr1:24070000-24071000	1	1	0
raw	pos	24071	chr1:24071000-24072000	1	1	2
raw	pos	24385	chr1:24385000-24386000	1	1	0
raw	pos	24415	chr1:24415000-24416000	1	1	4
raw	pos	24542	chr1:24542000-24543000	1	1	0
raw	pos	24688	chr1:24688000-24689000	1	1	1
raw	pos	24830	chr1:24830000-24831000	1	1	0
raw	pos	24898	chr1:24898000-24899000	1	1	1
raw	pos	25101	chr1:25101000-25102000	1	1	1
raw	pos	25572	chr1:25572000-25573000	1	1	3
raw	pos	25573	chr1:25573000-25574000	1	0	0
raw	pos	25692	chr1:25692000-25693000	1	0	0
raw	pos	25895	chr1:25895000-25896000	1	1	3
raw	pos	26035	chr1:26035000-26036000	1	1	7
raw	pos	26036	chr1:26036000-26037000	1	1	4
raw	pos	26104	chr1:26104000-26105000	1	1	0
raw	pos	26105	chr1:26105000-26106000	1	1	1
raw	pos	26169	chr1:26169000-26170000	1	1	2
raw	pos	26170	chr1:26170000-26171000	1	1	1
raw	pos	26233	chr1:26233000-26234000	1	1	1
raw	pos	26234	chr1:26234000-26235000	1	1	5
raw	pos	26275	chr1:26275000-26276000	1	1	0
raw	pos	26276	chr1:26276000-26277000	1	1	2
raw	pos	26285	chr1:26285000-26286000	1	1	0
raw	pos	26286	chr1:26286000-26287000	1	0	0
raw	pos	26396	chr1:26396000-26397000	1	1	1
raw	pos	26417	chr1:26417000-26418000	1	1	1
raw	pos	26500	chr1:26500000-26501000	1	1	6
raw	pos	26620	chr1:26620000-26621000	1	1	3
raw	pos	26810	chr1:26810000-26811000	1	1	1
raw	pos	26966	chr1:26966000-26967000	1	1	1
raw	pos	26967	chr1:26967000-26968000	1	1	1
raw	pos	27046	chr1:27046000-27047000	1	1	3
raw	pos	27097	chr1:27097000-27098000	1	1	1
raw	pos	27102	chr1:27102000-27103000	1	1	2
raw	pos	27103	chr1:27103000-27104000	1	0	0
raw	pos	27296	chr1:27296000-27297000	1	1	0
raw	pos	27297	chr1:27297000-27298000	1	1	0
raw	pos	27332	chr1:27332000-27333000	1	1	2
raw	pos	27333	chr1:27333000-27334000	1	1	1
raw	pos	27357	chr1:27357000-27358000	1	1	2
raw	pos	27388	chr1:27388000-27389000	1	1	1
raw	pos	27395	chr1:27395000-27396000	1	1	2
raw	pos	27416	chr1:27416000-27417000	1	1	0
raw	pos	27556	chr1:27556000-27557000	1	1	1
raw	pos	27557	chr1:27557000-27558000	1	1	4
raw	pos	27606	chr1:27606000-27607000	1	1	0
raw	pos	27608	chr1:27608000-27609000	1	1	0
raw	pos	27609	chr1:27609000-27610000	1	1	1
raw	pos	27643	chr1:27643000-27644000	1	1	2
raw	pos	27644	chr1:27644000-27645000	1	1	4
raw	pos	27669	chr1:27669000-27670000	1	1	3
raw	pos	27725	chr1:27725000-27726000	1	1	9
raw	pos	27858	chr1:27858000-27859000	1	1	4
raw	pos	28518	chr1:28518000-28519000	1	1	9
raw	pos	28736	chr1:28736000-28737000	1	1	8
raw	pos	28737	chr1:28737000-28738000	1	1	4
raw	pos	28882	chr1:28882000-28883000	1	1	1
raw	pos	29181	chr1:29181000-29182000	1	1	3
raw	pos	29182	chr1:29182000-29183000	1	1	3
raw	pos	29332	chr1:29332000-29333000	1	1	3
raw	pos	29379	chr1:29379000-29380000	1	1	0
raw	pos	29703	chr1:29703000-29704000	1	1	0
raw	pos	30106	chr1:30106000-30107000	1	0	0
raw	pos	30232	chr1:30232000-30233000	1	1	0
raw	pos	30380	chr1:30380000-30381000	1	0	0
raw	pos	30779	chr1:30779000-30780000	1	1	4
raw	pos	30782	chr1:30782000-30783000	1	1	5
raw	pos	30801	chr1:30801000-30802000	1	1	3
raw	pos	30802	chr1:30802000-30803000	1	1	3
raw	pos	31181	chr1:31181000-31182000	1	1	3
raw	pos	31184	chr1:31184000-31185000	1	1	2
raw	pos	31394	chr1:31394000-31395000	1	1	2
raw	pos	31395	chr1:31395000-31396000	1	1	1
raw	pos	31422	chr1:31422000-31423000	1	1	5
raw	pos	31423	chr1:31423000-31424000	1	1	3
raw	pos	31548	chr1:31548000-31549000	1	1	1
raw	pos	31549	chr1:31549000-31550000	1	1	1
raw	pos	31564	chr1:31564000-31565000	1	1	1
raw	pos	31587	chr1:31587000-31588000	1	1	1
raw	pos	31588	chr1:31588000-31589000	1	1	0
raw	pos	31594	chr1:31594000-31595000	1	1	1
raw	pos	31633	chr1:31633000-31634000	1	1	2
raw	pos	31663	chr1:31663000-31664000	1	1	2
raw	pos	31664	chr1:31664000-31665000	1	1	2
raw	pos	31684	chr1:31684000-31685000	1	1	0
raw	pos	31715	chr1:31715000-31716000	1	1	3
raw	pos	31745	chr1:31745000-31746000	1	1	3
raw	pos	31762	chr1:31762000-31763000	1	1	3
raw	pos	31763	chr1:31763000-31764000	1	1	0
raw	pos	31789	chr1:31789000-31790000	1	1	5
raw	pos	31964	chr1:31964000-31965000	1	1	0
raw	pos	32003	chr1:32003000-32004000	1	1	3
raw	pos	32215	chr1:32215000-32216000	1	1	3
raw	pos	32248	chr1:32248000-32249000	1	1	3
raw	pos	32413	chr1:32413000-32414000	1	1	0
raw	pos	32414	chr1:32414000-32415000	1	0	0
raw	pos	32520	chr1:32520000-32521000	1	1	3
raw	pos	32712	chr1:32712000-32713000	1	1	2
raw	pos	32772	chr1:32772000-32773000	1	1	3
raw	pos	32773	chr1:32773000-32774000	1	1	3
raw	pos	32876	chr1:32876000-32877000	1	1	2
raw	pos	32886	chr1:32886000-32887000	1	1	4
raw	pos	33055	chr1:33055000-33056000	1	1	0
raw	pos	33086	chr1:33086000-33087000	1	1	1
raw	pos	33095	chr1:33095000-33096000	1	1	1
raw	pos	33137	chr1:33137000-33138000	1	1	1
raw	pos	33138	chr1:33138000-33139000	1	1	1
raw	pos	33295	chr1:33295000-33296000	1	0	0
raw	pos	33455	chr1:33455000-33456000	1	1	2
raw	pos	33456	chr1:33456000-33457000	1	1	1
raw	pos	33612	chr1:33612000-33613000	1	1	2
raw	pos	33613	chr1:33613000-33614000	1	1	5
raw	pos	33633	chr1:33633000-33634000	1	1	0
raw	pos	34163	chr1:34163000-34164000	1	1	1
raw	pos	34460	chr1:34460000-34461000	1	1	0
raw	pos	34597	chr1:34597000-34598000	1	1	0
raw	pos	34598	chr1:34598000-34599000	1	0	0
raw	pos	34681	chr1:34681000-34682000	1	1	0
raw	pos	34742	chr1:34742000-34743000	1	1	1
raw	pos	34743	chr1:34743000-34744000	1	1	0
raw	pos	34852	chr1:34852000-34853000	1	1	0
raw	pos	34853	chr1:34853000-34854000	1	0	0
raw	pos	34866	chr1:34866000-34867000	1	1	0
raw	pos	35202	chr1:35202000-35203000	1	1	2
raw	pos	35221	chr1:35221000-35222000	1	1	0
raw	pos	35451	chr1:35451000-35452000	1	0	0
raw	pos	35882	chr1:35882000-35883000	1	1	0
raw	pos	35883	chr1:35883000-35884000	1	1	1
raw	pos	36088	chr1:36088000-36089000	1	1	4
raw	pos	36099	chr1:36099000-36100000	1	1	2
raw	pos	36149	chr1:36149000-36150000	1	1	7
raw	pos	36369	chr1:36369000-36370000	1	0	0
raw	pos	36420	chr1:36420000-36421000	1	1	0
raw	pos	36421	chr1:36421000-36422000	1	1	1
raw	pos	36446	chr1:36446000-36447000	1	1	0
raw	pos	36516	chr1:36516000-36517000	1	1	0
raw	pos	36542	chr1:36542000-36543000	1	0	0
raw	pos	36543	chr1:36543000-36544000	1	1	1
raw	pos	36553	chr1:36553000-36554000	1	1	0
raw	pos	36554	chr1:36554000-36555000	1	0	0
raw	pos	36576	chr1:36576000-36577000	1	1	1
raw	pos	36650	chr1:36650000-36651000	1	1	0
raw	pos	36864	chr1:36864000-36865000	1	0	0
raw	pos	37434	chr1:37434000-37435000	1	1	1
raw	pos	37487	chr1:37487000-37488000	1	1	2
raw	pos	37514	chr1:37514000-37515000	1	1	2
raw	pos	37603	chr1:37603000-37604000	1	1	2
raw	pos	37682	chr1:37682000-37683000	1	1	1
raw	pos	37811	chr1:37811000-37812000	1	1	0
raw	pos	37860	chr1:37860000-37861000	1	1	4
raw	pos	37975	chr1:37975000-37976000	1	1	1
raw	pos	37989	chr1:37989000-37990000	1	1	2
raw	pos	37990	chr1:37990000-37991000	1	1	2
raw	pos	38026	chr1:38026000-38027000	1	1	1
raw	pos	38489	chr1:38489000-38490000	1	1	1
raw	pos	38490	chr1:38490000-38491000	1	0	0
raw	pos	38587	chr1:38587000-38588000	1	1	3
raw	pos	38608	chr1:38608000-38609000	1	1	0
raw	pos	39092	chr1:39092000-39093000	1	0	0
raw	pos	39102	chr1:39102000-39103000	1	0	0
raw	pos	39191	chr1:39191000-39192000	1	1	2
raw	pos	39258	chr1:39258000-39259000	1	1	2
raw	pos	39609	chr1:39609000-39610000	1	0	0
raw	pos	39639	chr1:39639000-39640000	1	1	4
raw	pos	39640	chr1:39640000-39641000	1	1	3
raw	pos	39653	chr1:39653000-39654000	1	1	1
raw	pos	39658	chr1:39658000-39659000	1	1	3
raw	pos	39799	chr1:39799000-39800000	1	0	0
raw	pos	39816	chr1:39816000-39817000	1	1	1
raw	pos	39817	chr1:39817000-39818000	1	1	1
raw	pos	39902	chr1:39902000-39903000	1	0	0
raw	pos	39973	chr1:39973000-39974000	1	1	1
raw	pos	40032	chr1:40032000-40033000	1	1	0
raw	pos	40078	chr1:40078000-40079000	1	1	0
raw	pos	40144	chr1:40144000-40145000	1	1	1
raw	pos	40153	chr1:40153000-40154000	1	1	2
raw	pos	40338	chr1:40338000-40339000	1	1	2
raw	pos	40339	chr1:40339000-40340000	1	0	0
raw	pos	40532	chr1:40532000-40533000	1	0	0
raw	pos	40533	chr1:40533000-40534000	1	1	0
raw	pos	40630	chr1:40630000-40631000	1	1	1
raw	pos	40668	chr1:40668000-40669000	1	1	0
raw	pos	40669	chr1:40669000-40670000	1	0	0
raw	pos	40774	chr1:40774000-40775000	1	1	3
raw	pos	40848	chr1:40848000-40849000	1	1	1
raw	pos	40952	chr1:40952000-40953000	1	1	1
raw	pos	41282	chr1:41282000-41283000	1	1	1
raw	pos	41283	chr1:41283000-41284000	1	1	3
raw	pos	41313	chr1:41313000-41314000	1	1	0
raw	pos	41322	chr1:41322000-41323000	1	1	0
raw	pos	41323	chr1:41323000-41324000	1	1	1
raw	pos	41417	chr1:41417000-41418000	1	1	2
raw	pos	41492	chr1:41492000-41493000	1	1	1
raw	pos	41513	chr1:41513000-41514000	1	0	0
raw	pos	41516	chr1:41516000-41517000	1	1	3
raw	pos	41812	chr1:41812000-41813000	1	1	0
raw	pos	42146	chr1:42146000-42147000	1	1	0
raw	pos	42147	chr1:42147000-42148000	1	1	2
raw	pos	42173	chr1:42173000-42174000	1	1	1
raw	pos	42314	chr1:42314000-42315000	1	1	0
raw	pos	42344	chr1:42344000-42345000	1	1	0
raw	pos	42747	chr1:42747000-42748000	1	1	0
raw	pos	42913	chr1:42913000-42914000	1	1	0
raw	pos	43227	chr1:43227000-43228000	1	0	0
raw	pos	43529	chr1:43529000-43530000	1	1	1
raw	pos	43554	chr1:43554000-43555000	1	1	3
raw	pos	43930	chr1:43930000-43931000	1	0	0
raw	pos	43934	chr1:43934000-43935000	1	1	1
raw	pos	43935	chr1:43935000-43936000	1	1	1
raw	pos	43946	chr1:43946000-43947000	1	1	3
raw	pos	44005	chr1:44005000-44006000	1	1	0
raw	pos	44006	chr1:44006000-44007000	1	1	3
raw	pos	44036	chr1:44036000-44037000	1	1	1
raw	pos	44378	chr1:44378000-44379000	1	1	0
raw	pos	44595	chr1:44595000-44596000	1	0	0
raw	pos	44652	chr1:44652000-44653000	1	1	1
raw	pos	44653	chr1:44653000-44654000	1	1	1
raw	pos	44655	chr1:44655000-44656000	1	1	4
raw	pos	44714	chr1:44714000-44715000	1	1	0
raw	pos	44715	chr1:44715000-44716000	1	1	3
raw	pos	44729	chr1:44729000-44730000	1	1	0
raw	pos	44731	chr1:44731000-44732000	1	1	2
raw	pos	44786	chr1:44786000-44787000	1	1	4
raw	pos	44799	chr1:44799000-44800000	1	1	1
raw	pos	44800	chr1:44800000-44801000	1	1	7
raw	pos	44835	chr1:44835000-44836000	1	1	1
raw	pos	44836	chr1:44836000-44837000	1	0	0
raw	pos	45014	chr1:45014000-45015000	1	1	0
raw	pos	45303	chr1:45303000-45304000	1	1	6
raw	pos	45304	chr1:45304000-45305000	1	1	1
raw	pos	45570	chr1:45570000-45571000	1	1	1
raw	pos	46037	chr1:46037000-46038000	1	1	0
raw	pos	46223	chr1:46223000-46224000	1	1	1
raw	pos	46348	chr1:46348000-46349000	1	1	4
raw	pos	46406	chr1:46406000-46407000	1	1	1
raw	pos	46412	chr1:46412000-46413000	1	1	2
raw	pos	46442	chr1:46442000-46443000	1	1	3
raw	pos	46443	chr1:46443000-46444000	1	0	0
raw	pos	46446	chr1:46446000-46447000	1	1	1
raw	pos	46447	chr1:46447000-46448000	1	0	0
raw	pos	46477	chr1:46477000-46478000	1	1	1
raw	pos	46528	chr1:46528000-46529000	1	1	2
raw	pos	46725	chr1:46725000-46726000	1	1	1
raw	pos	47175	chr1:47175000-47176000	1	1	0
raw	pos	47179	chr1:47179000-47180000	1	1	3
raw	pos	47192	chr1:47192000-47193000	1	1	3
raw	pos	47193	chr1:47193000-47194000	1	0	0
