clique_id	n_regions	chromosome	span_bp	region_types	genes	min_pair_score	mean_pair_score	max_pair_p	max_pair_fdr	density	states	regions
C00014	3	chr19	472563	distal:1;proximal:2	HSD17B14;TMEM143	0.047066	0.059358	5.98251e-05	0.00661712	1.0	.	chr19:48363116-48363402;chr19:48437504-48437654;chr19:48835484-48835679
C00015	3	chr19	373653	distal:0;proximal:3	ECSIT;ENSG00000267082;SPC24	0.069724	0.102728	3.7967e-09	6.05203e-07	1.0	.	chr19:11155720-11156271;chr19:11203588-11204094;chr19:11528617-11529373
C00016	3	chr15	350093	distal:2;proximal:1	LUNAR1	0.053682	0.070301	5.15594e-06	0.000639212	1.0	.	chr15:98750686-98750884;chr15:99014811-99015196;chr15:99100626-99100779
C00017	3	chr1	265301	distal:1;proximal:2	COQ8A;ITPKB-IT1	0.042992	0.063988	0.000232829	0.0238325	1.0	.	chr1:226675171-226675321;chr1:226723720-226724416;chr1:226939857-226940472
C00018	3	chr1	824525	distal:2;proximal:1	NBPF1	0.060769	0.128253	2.66218e-07	3.70096e-05	1.0	.	chr1:16613237-16613749;chr1:17274311-17274502;chr1:17437612-17437762
C00019	3	chr6	288276	distal:0;proximal:3	H2AC6;H2BC4;H3C7;TRIM38	0.042714	0.172774	0.000254435	0.0259052	1.0	.	chr6:25962191-25962511;chr6:26123703-26124401;chr6:26250204-26250467
C00020	3	chr19	498740	distal:2;proximal:1	TNNI3	0.095158	0.168775	9.99201e-16	2.26511e-13	1.0	.	chr19:55156678-55157196;chr19:55341214-55341411;chr19:55655250-55655418
C00021	3	chr17	650985	distal:0;proximal:3	SAT2;SLC16A13;TP53;WRAP53	0.139936	0.255532	0	0	1.0	.	chr17:7035752-7036039;chr17:7627745-7628004;chr17:7686587-7686737
C00022	3	chr16	516263	distal:2;proximal:1	FUS	0.046118	0.086971	8.29004e-05	0.00902685	1.0	.	chr16:30664023-30664206;chr16:30730842-30730998;chr16:31179785-31180286
C00023	3	chr1	504116	distal:3;proximal:0	.	0.226381	0.346883	0	0	1.0	.	chr1:151608319-151608581;chr1:152111642-152112009;chr1:152112207-152112435
C00024	3	chr1	602310	distal:1;proximal:2	ENSG00000270361;KCNN3;PMVK	0.111088	0.197871	0	0	1.0	.	chr1:154335135-154335285;chr1:154870210-154870529;chr1:154937176-154937445
C00025	3	chr5	544459	distal:1;proximal:2	CLTB;KIAA1191	0.098087	0.14279	1.11022e-16	2.61359e-14	1.0	.	chr5:175871827-175872029;chr5:176361489-176361923;chr5:176415912-176416286
C00026	3	chr19	601906	distal:3;proximal:0	.	0.063781	0.210135	6.78748e-08	9.86291e-06	1.0	.	chr19:32224736-32224886;chr19:32746586-32746804;chr19:32826451-32826642
C00027	3	chr11	517082	distal:0;proximal:3	C11orf80;ENSG00000287934;LRFN4;SPTBN2	0.082473	0.098861	3.36364e-12	6.38848e-10	1.0	.	chr11:66744586-66744959;chr11:66856162-66856574;chr11:67261510-67261668
C00028	3	chr12	499874	distal:3;proximal:0	.	0.071159	0.120488	1.82301e-09	2.96392e-07	1.0	.	chr12:6278645-6279015;chr12:6672484-6672634;chr12:6778341-6778519
C00029	3	chr12	482822	distal:2;proximal:1	ENSG00000277283;RAB35	0.053235	0.121533	6.14301e-06	0.000756588	1.0	.	chr12:120116583-120117366;chr12:120292044-120292389;chr12:120599127-120599405
C00030	3	chr19	530549	distal:3;proximal:0	.	0.057662	0.086971	1.01902e-06	0.000134684	1.0	.	chr19:3804847-3804997;chr19:4172729-4173211;chr19:4335221-4335396
C00031	3	chr15	729417	distal:0;proximal:3	GANC;RPAP1;TMEM87A;VPS39;VPS39-DT	0.06465	0.083059	4.52353e-08	6.66318e-06	1.0	.	chr15:41544194-41544574;chr15:42208179-42208507;chr15:42273048-42273611
C00032	3	chr17	274809	distal:0;proximal:3	BORCS6;CNTROB;RNF227;TRAPPC1	0.048828	0.053272	3.2074e-05	0.00367381	1.0	.	chr17:7915600-7916080;chr17:7931920-7932346;chr17:8190104-8190409
C00033	3	chr16	553261	distal:0;proximal:3	ENSG00000263011;ENSG00000263212;ENSG00000289222	0.079419	0.119303	2.01169e-11	3.66795e-09	1.0	.	chr16:2904975-2905213;chr16:3106461-3106913;chr16:3457362-3458236
C00034	3	chr1	282926	distal:2;proximal:1	NFIA-AS1	0.159375	0.222889	0	0	1.0	.	chr1:60970792-60970947;chr1:61224530-61224739;chr1:61253492-61253718
C00035	3	chr7	902422	distal:0;proximal:3	GTF2IRD2B;HIP1;TMEM120A	0.044839	0.07956	0.000127545	0.0135136	1.0	.	chr7:75092455-75093206;chr7:75738654-75739639;chr7:75994461-75994877
C00036	3	chr3	125496	distal:1;proximal:2	ENTPD3;ENTPD3-AS1	0.047763	0.175228	4.68728e-05	0.00526492	1.0	.	chr3:40328009-40328182;chr3:40386590-40386740;chr3:40453128-40453505
C00037	3	chr6	793155	distal:2;proximal:1	RNF8	0.100403	0.151383	0	0	1.0	.	chr6:36560914-36561228;chr6:36623542-36623772;chr6:37353828-37354069
C00038	3	chr15	336562	distal:3;proximal:0	.	0.083214	0.122497	2.15661e-12	4.13856e-10	1.0	.	chr15:75104644-75104800;chr15:75177824-75178050;chr15:75440973-75441206
C00039	3	chr19	880441	distal:3;proximal:0	.	0.070193	0.102992	2.99254e-09	4.80893e-07	1.0	.	chr19:2598948-2599563;chr19:3384785-3385070;chr19:3479203-3479389
C00040	3	chr19	505365	distal:1;proximal:2	CCDC124;ISYNA1	0.048584	0.088103	3.50156e-05	0.0039934	1.0	.	chr19:17932858-17933275;chr19:18036357-18036570;chr19:18438073-18438223
C00041	3	chr4	712510	distal:2;proximal:1	FAM53A	0.053285	0.067855	6.0247e-06	0.000742521	1.0	.	chr4:1684182-1684845;chr4:1748750-1748900;chr4:2396193-2396692
C00042	3	chr19	456598	distal:1;proximal:2	APOC1P1;ERCC2	0.066859	0.109718	1.57263e-08	2.39351e-06	1.0	.	chr19:44927121-44927469;chr19:45370565-45370965;chr19:45383496-45383719
C00043	3	chr11	679468	distal:3;proximal:0	.	0.05229	0.057679	8.8574e-06	0.00107324	1.0	.	chr11:62171293-62171747;chr11:62424819-62425041;chr11:62850611-62850761
C00044	3	chr2	884429	distal:3;proximal:0	.	0.041841	0.255496	0.000334878	0.0335832	1.0	.	chr2:46004691-46004841;chr2:46662582-46663261;chr2:46888887-46889120
C00045	3	chr19	183726	distal:0;proximal:3	DUS3L;NRTN;SAFB	0.08883	0.106892	6.56142e-14	1.37152e-11	1.0	.	chr19:5622394-5622616;chr19:5791127-5791565;chr19:5805931-5806120
C00046	3	chr2	218900	distal:2;proximal:1	DPY30;ENSG00000288937	0.04786	0.228627	4.52983e-05	0.00509789	1.0	.	chr2:32039490-32039656;chr2:32222787-32222937;chr2:32258156-32258390
C00047	3	chr2	547634	distal:1;proximal:2	ANXA4;ENSG00000231024	0.044321	0.083755	0.000151364	0.0158796	1.0	.	chr2:69643638-69644114;chr2:69714744-69714929;chr2:70190662-70191272
C00048	3	chr2	916231	distal:2;proximal:1	ENSG00000289296;SP3	0.083395	0.167031	1.93412e-12	3.72063e-10	1.0	.	chr2:173049338-173049547;chr2:173401883-173402033;chr2:173965317-173965569
C00049	3	chr5	606514	distal:2;proximal:1	GDF9;UQCRQ	0.091443	0.139641	1.19904e-14	2.59242e-12	1.0	.	chr5:132585583-132585815;chr5:132866139-132866651;chr5:133191844-133192097
C00050	3	chr19	554894	distal:1;proximal:2	EML2;GEMIN7-AS1;PPP1R37	0.044657	0.070126	0.000135492	0.0142957	1.0	.	chr19:45091480-45091912;chr19:45300642-45300912;chr19:45646155-45646374
C00051	3	chr16	259045	distal:2;proximal:1	ENSG00000261889	0.043832	0.073032	0.000177613	0.0184493	1.0	.	chr16:2898613-2898836;chr16:2961841-2962060;chr16:3157338-3157658
C00052	3	chr1	448907	distal:3;proximal:0	.	0.079825	0.11984	1.59268e-11	2.91982e-09	1.0	.	chr1:32753776-32754023;chr1:32754468-32754619;chr1:33202444-33202683
C00053	3	chr1	327458	distal:2;proximal:1	AK2;AZIN2	0.125475	0.222753	0	0	1.0	.	chr1:32753776-32754023;chr1:33036006-33036216;chr1:33080908-33081234
C00054	3	chr2	308817	distal:3;proximal:0	.	0.106043	0.186435	0	0	1.0	.	chr2:41824629-41824784;chr2:42008460-42008610;chr2:42132822-42133446
C00055	3	chr7	608843	distal:3;proximal:0	.	0.057306	0.250504	1.18379e-06	0.000155478	1.0	.	chr7:80870074-80870249;chr7:80892998-80893161;chr7:81478712-81478917
C00056	3	chr19	243341	distal:1;proximal:2	ABHD8;DDA1;NR2F6	0.066497	0.121853	1.8746e-08	2.83325e-06	1.0	.	chr19:17246095-17246271;chr19:17309073-17309621;chr19:17489034-17489436
C00057	3	chr1	724975	distal:2;proximal:1	NECAP2	0.117632	0.158887	0	0	1.0	.	chr1:15716027-15716177;chr1:16078983-16079159;chr1:16440517-16441002
C00058	3	chr1	973408	distal:0;proximal:3	CASP9;CROCCP3;DNAJC16;NECAP2	0.056515	0.123941	1.64479e-06	0.000213644	1.0	.	chr1:15526421-15526883;chr1:16440517-16441002;chr1:16499041-16499829
C00059	3	chr8	404482	distal:1;proximal:2	MFSD3;PPP1R16A	0.049359	0.14179	2.64717e-05	0.00305453	1.0	.	chr8:144477814-144478097;chr8:144508302-144508819;chr8:144882116-144882296
C00060	3	chr6	572237	distal:3;proximal:0	.	0.111085	0.229965	0	0	1.0	.	chr6:26555222-26555417;chr6:26607489-26607659;chr6:27127135-27127459
C00061	3	chr17	513879	distal:1;proximal:2	ENSG00000250838;ENSG00000289021;IGF2BP1;SNF8	0.054902	0.074801	3.1742e-06	0.000401522	1.0	.	chr17:48483602-48484106;chr17:48943914-48944064;chr17:48997047-48997481
C00062	3	chr14	391210	distal:2;proximal:1	ENSG00000273711;ZNF410	0.068152	0.110527	8.34303e-09	1.29742e-06	1.0	.	chr14:73885583-73885733;chr14:74140413-74140645;chr14:74276557-74276793
C00063	3	chr1	432598	distal:2;proximal:1	ENSG00000272106;MIB2	0.048395	0.089997	3.74642e-05	0.00425513	1.0	.	chr1:1183020-1183170;chr1:1382573-1382819;chr1:1615057-1615618
C00064	3	chr1	572684	distal:1;proximal:2	KRTCAP2;MTX1;THBS3;TRIM46	0.05986	0.110534	3.96963e-07	5.44275e-05	1.0	.	chr1:155173156-155173546;chr1:155209018-155209323;chr1:155745318-155745840
C00065	3	chrX	438073	distal:2;proximal:1	MECP2	0.081266	0.190217	6.8755e-12	1.28731e-09	1.0	.	chrX:154097062-154097551;chrX:154136801-154136973;chrX:154534821-154535135
C00066	3	chrX	208832	distal:2;proximal:1	MECP2	0.051019	0.172026	1.43462e-05	0.00170183	1.0	.	chrX:153928141-153928721;chrX:154097062-154097551;chrX:154136801-154136973
C00067	3	chr15	499414	distal:2;proximal:1	ENSG00000261775	0.050508	0.084471	1.73591e-05	0.00204131	1.0	.	chr15:74307832-74308021;chr15:74489923-74490342;chr15:74807096-74807246
C00068	3	chr12	472649	distal:2;proximal:1	HSD17B6;PRIM1	0.068751	0.121359	6.19418e-09	9.74052e-07	1.0	.	chr12:56590234-56590544;chr12:56751967-56752557;chr12:57062699-57062883
C00069	3	chr12	373700	distal:2;proximal:1	HSD17B6;PRIM1	0.041986	0.081597	0.000320032	0.0321642	1.0	.	chr12:56689183-56689746;chr12:56751967-56752557;chr12:57062699-57062883
C00070	3	chr2	67690	distal:2;proximal:1	ENSG00000272735	0.057849	0.104278	9.41967e-07	0.000124902	1.0	.	chr2:71001038-71001343;chr2:71021787-71022003;chr2:71068163-71068728
C00071	3	chr1	492363	distal:2;proximal:1	ENSG00000284699	0.044587	0.054998	0.00013866	0.0146091	1.0	.	chr1:24705179-24705712;chr1:24735507-24736318;chr1:25197319-25197542
C00072	3	chr1	603372	distal:0;proximal:3	ENSG00000286433;ENSG00000287244;FAM76A;MED18;PPP1R8	0.06108	0.076471	2.31795e-07	3.23947e-05	1.0	.	chr1:27726224-27726570;chr1:27830550-27830938;chr1:28329259-28329596
C00073	3	chr1	664892	distal:1;proximal:2	CTPS1;ENSG00000284677;ZFP69B	0.040589	0.064832	0.000492015	0.0481943	1.0	.	chr1:40315251-40315583;chr1:40449873-40450242;chr1:40979276-40980143
C00074	3	chr12	422141	distal:2;proximal:1	ENSG00000256950;ENSG00000287493;PSMD9	0.050817	0.052534	1.54737e-05	0.00182873	1.0	.	chr12:121467057-121467978;chr12:121811716-121812279;chr12:121888983-121889198
C00075	3	chr1	630104	distal:1;proximal:2	EXTL2;RTCA;RTCA-AS1;SLC30A7	0.06331	0.086263	8.43947e-08	1.21772e-05	1.0	.	chr1:100266031-100266489;chr1:100459370-100459819;chr1:100895730-100896135
C00076	3	chr19	673393	distal:3;proximal:0	.	0.053559	0.115282	5.41149e-06	0.000669545	1.0	.	chr19:47026217-47026367;chr19:47600293-47600774;chr19:47699460-47699610
C00077	3	chr6	223590	distal:2;proximal:1	HSP90AB1	0.088551	0.108529	7.84928e-14	1.6324e-11	1.0	.	chr6:44246673-44247140;chr6:44268085-44268241;chr6:44469928-44470263
C00078	3	chr1	671707	distal:2;proximal:1	PTCH2	0.062954	0.155623	9.94039e-08	1.42519e-05	1.0	.	chr1:44793700-44794167;chr1:44843140-44843691;chr1:45465257-45465407
C00079	3	chr9	479936	distal:3;proximal:0	.	0.049211	0.074026	2.79408e-05	0.00321768	1.0	.	chr9:79182942-79183110;chr9:79438947-79439215;chr9:79662691-79662878
C00080	3	chr2	808966	distal:1;proximal:2	ENSG00000240980;ENSG00000287305;GRHL1	0.089856	0.130153	3.38618e-14	7.17553e-12	1.0	.	chr2:9142782-9143130;chr2:9643963-9644113;chr2:9951406-9951748
C00081	3	chr7	571267	distal:2;proximal:1	SPDYE10	0.14019	0.143874	0	0	1.0	.	chr7:73154701-73155150;chr7:73701546-73701696;chr7:73725791-73725968
C00082	3	chr1	389811	distal:0;proximal:3	ACOT7;ENSG00000271746;ICMT;THAP3	0.050757	0.057012	1.5821e-05	0.00186718	1.0	.	chr1:6235901-6236299;chr1:6393333-6393586;chr1:6625325-6625712
C00083	3	chr17	518105	distal:3;proximal:0	.	0.15299	0.25753	0	0	1.0	.	chr17:17623386-17623855;chr17:17922217-17922404;chr17:18141284-18141491
C00084	3	chr17	494521	distal:3;proximal:0	.	0.162045	0.254496	0	0	1.0	.	chr17:17646970-17647181;chr17:17922217-17922404;chr17:18141284-18141491
C00085	3	chr19	890037	distal:2;proximal:1	RAB11B;RAB11B-AS1	0.064177	0.104456	5.64381e-08	8.25628e-06	1.0	.	chr19:7500967-7501193;chr19:7970834-7971003;chr19:8390625-8391004
C00086	3	chr19	262206	distal:1;proximal:2	AP2S1;SAE1	0.04273	0.056134	0.000253134	0.0257776	1.0	.	chr19:46850535-46851118;chr19:46976503-46976707;chr19:47112495-47112741
C00087	3	chr19	457709	distal:3;proximal:0	.	0.050776	0.102119	1.5711e-05	0.00185539	1.0	.	chr19:45359828-45359988;chr19:45523729-45524032;chr19:45817141-45817537
C00088	3	chr17	624349	distal:2;proximal:1	MYO15A	0.043136	0.068127	0.000222318	0.0228156	1.0	.	chr17:17818057-17818281;chr17:18109032-18109197;chr17:18442176-18442406
C00089	3	chr15	340254	distal:2;proximal:1	IDH2;IDH2-DT	0.068846	0.256678	5.90597e-09	9.29919e-07	1.0	.	chr15:89861646-89861822;chr15:90102189-90102740;chr15:90201226-90201900
C00090	3	chr19	405156	distal:2;proximal:1	CYTH2;ENSG00000268530	0.065765	0.101426	2.66564e-08	3.9864e-06	1.0	.	chr19:48332726-48333281;chr19:48469657-48469867;chr19:48737723-48737882
C00091	3	chr6	907395	distal:3;proximal:0	.	0.068649	0.146979	6.51584e-09	1.02202e-06	1.0	.	chr6:42056685-42056912;chr6:42639213-42639460;chr6:42963930-42964080
C00092	3	chr2	378985	distal:2;proximal:1	ENSG00000235480	0.045149	0.07411	0.000115001	0.0122634	1.0	.	chr2:96153524-96153674;chr2:96164676-96164956;chr2:96532003-96532509
C00093	3	chr19	828019	distal:2;proximal:1	ARMC6	0.096369	0.183025	4.44089e-16	1.02241e-13	1.0	.	chr19:18590499-18590794;chr19:19032876-19033099;chr19:19418315-19418518
C00094	3	chr7	503457	distal:2;proximal:1	PAXIP1;PAXIP1-DT	0.062976	0.174551	9.84297e-08	1.41195e-05	1.0	.	chr7:154841720-154841924;chr7:155003303-155003652;chr7:155344742-155345177
C00095	3	chr19	362504	distal:1;proximal:2	BCAM;CLASRP	0.093177	0.108535	3.77476e-15	8.34535e-13	1.0	.	chr19:44677114-44677550;chr19:44808566-44808716;chr19:45038957-45039618
C00096	3	chr19	775477	distal:2;proximal:1	ENSG00000287296	0.068176	0.092547	8.24312e-09	1.28242e-06	1.0	.	chr19:13152860-13153174;chr19:13833589-13833935;chr19:13928173-13928337
C00097	3	chr2	433705	distal:1;proximal:2	AMMECR1L;HS6ST1	0.149378	0.170499	0	0	1.0	.	chr2:127885307-127885770;chr2:127979946-127980096;chr2:128318825-128319012
C00098	3	chr14	198074	distal:1;proximal:2	ENSG00000285664;GNPNAT1	0.074157	0.16525	3.7573e-10	6.38717e-08	1.0	.	chr14:52594314-52594465;chr14:52791163-52792147;chr14:52792214-52792388
C00099	3	chr11	146721	distal:2;proximal:1	BBS1	0.043621	0.05282	0.000190171	0.0196824	1.0	.	chr11:66364037-66364187;chr11:66438976-66439234;chr11:66510508-66510758
C00100	3	chr11	264898	distal:2;proximal:1	CCDC87;CCS	0.070593	0.197502	2.44014e-09	3.94009e-07	1.0	.	chr11:66328357-66328623;chr11:66364037-66364187;chr11:66592799-66593255
C00101	3	chr1	835924	distal:2;proximal:1	PER3	0.091608	0.131143	1.07692e-14	2.33293e-12	1.0	.	chr1:7646387-7646557;chr1:7783750-7784240;chr1:8482138-8482311
C00102	3	chr12	696352	distal:0;proximal:3	BLOC1S1;ENSG00000257449;ENSG00000258311;ENSG00000276272;ITGA7;RPS26	0.058608	0.07818	6.81935e-07	9.16288e-05	1.0	.	chr12:55716350-55716740;chr12:56041240-56041401;chr12:56412532-56412702
C00103	3	chr2	523254	distal:3;proximal:0	.	0.047192	0.082487	5.72622e-05	0.00635458	1.0	.	chr2:88026417-88026663;chr2:88330195-88330479;chr2:88549497-88549671
C00104	3	chr1	463535	distal:2;proximal:1	UBQLN4	0.043001	0.06551	0.000232141	0.0237665	1.0	.	chr1:155697744-155697909;chr1:156053354-156053624;chr1:156160809-156161279
C00105	3	chr12	119985	distal:2;proximal:1	PEBP1;VSIG10	0.153323	0.244033	0	0	1.0	.	chr12:118016500-118017029;chr12:118076689-118076839;chr12:118136223-118136485
C00106	3	chr1	633706	distal:1;proximal:2	AMIGO1;CSF1	0.056112	0.066537	1.94177e-06	0.000250692	1.0	.	chr1:109277469-109277631;chr1:109509328-109510011;chr1:109910570-109911175
C00107	3	chr1	846033	distal:1;proximal:2	ENSG00000272106;ENSG00000273443;MIB2	0.085872	0.107135	4.24549e-13	8.45775e-11	1.0	.	chr1:1063805-1064095;chr1:1615689-1615888;chr1:1909661-1909838
C00108	3	chr1	428580	distal:0;proximal:3	GPATCH3;HMGN2;NUDC	0.049173	0.096669	2.83295e-05	0.00326075	1.0	.	chr1:26471944-26472201;chr1:26472295-26472575;chr1:26900371-26900524
C00109	3	chr1	605952	distal:2;proximal:1	LAMTOR2	0.044771	0.159144	0.000130464	0.0138046	1.0	.	chr1:156054523-156055263;chr1:156383032-156383246;chr1:156660016-156660475
C00110	3	chr8	439828	distal:0;proximal:3	BIN3;ENSG00000261026;POLR3D	0.101054	0.156724	0	0	1.0	.	chr8:22245017-22245452;chr8:22669035-22669332;chr8:22684695-22684845
C00111	3	chr3	682400	distal:0;proximal:3	GPX1;MST1;RNF123;WDR6	0.057001	0.074231	1.3441e-06	0.000175721	1.0	.	chr3:49007724-49008124;chr3:49358876-49359110;chr3:49689764-49690124
C00112	3	chr16	800482	distal:3;proximal:0	.	0.101143	0.111621	0	0	1.0	.	chr16:30165281-30165440;chr16:30844731-30844993;chr16:30965536-30965763
C00113	3	chr5	662158	distal:2;proximal:1	ENSG00000277619;PITX1	0.069741	0.111459	3.7651e-09	6.00598e-07	1.0	.	chr5:134642367-134642563;chr5:135034148-135034845;chr5:135304375-135304525
C00114	3	chr19	714445	distal:1;proximal:2	ENSG00000188223;ENSG00000267120;PSENEN;SCN1B;U2AF1L4	0.085867	0.117368	4.25993e-13	8.48498e-11	1.0	.	chr19:35031224-35031382;chr19:35067170-35067359;chr19:35745390-35745669
C00115	3	chr1	614475	distal:1;proximal:2	KRTCAP2;TRIM46;UBE2Q1	0.075919	0.11511	1.4412e-10	2.51399e-08	1.0	.	chr1:154558612-154559092;chr1:154878557-154878783;chr1:155172801-155173087
C00116	3	chr10	560962	distal:2;proximal:1	CHUK;CHUK-DT	0.057623	0.121444	1.03603e-06	0.000136824	1.0	.	chr10:100110320-100110591;chr10:100229311-100229805;chr10:100671114-100671282
C00117	3	chr5	797475	distal:3;proximal:0	.	0.054658	0.122142	3.49993e-06	0.000441515	1.0	.	chr5:176658107-176658270;chr5:177133434-177134194;chr5:177455012-177455582
C00118	3	chr17	871180	distal:3;proximal:0	.	0.054534	0.067212	3.67777e-06	0.000462737	1.0	.	chr17:17087565-17087742;chr17:17663278-17663609;chr17:17958530-17958745
C00119	3	chr17	799353	distal:1;proximal:2	CLTC;ENSG00000273702;RNFT1;RNFT1-DT	0.229002	0.427451	0	0	1.0	.	chr17:59165907-59166182;chr17:59619184-59620142;chr17:59963904-59965260
C00120	3	chr16	237786	distal:1;proximal:2	PAQR4;ZNF205	0.088079	0.107897	1.06026e-13	2.18695e-11	1.0	.	chr16:2874895-2875085;chr16:2969120-2969580;chr16:3112348-3112681
C00121	3	chr7	839004	distal:3;proximal:0	.	0.046202	0.067829	8.05815e-05	0.00878489	1.0	.	chr7:1612713-1612995;chr7:2225548-2225698;chr7:2451467-2451717
C00122	3	chr17	567882	distal:1;proximal:2	ARRB2;CYB5D2;ZZEF1	0.063112	0.108174	9.24665e-08	1.32951e-05	1.0	.	chr17:4142987-4143303;chr17:4413368-4413518;chr17:4710046-4710869
C00123	3	chr19	69357	distal:1;proximal:2	CNOT3;RPS9	0.040762	0.100847	0.000466833	0.0458777	1.0	.	chr19:54137520-54137845;chr19:54200941-54201225;chr19:54206699-54206877
C00124	3	chr22	706739	distal:2;proximal:1	MORC2;TUG1	0.063022	0.122656	9.63443e-08	1.38311e-05	1.0	.	chr22:30263007-30263225;chr22:30920437-30920587;chr22:30968904-30969746
C00125	3	chr19	674339	distal:0;proximal:3	ENSG00000267277;LDLR;QTRT1;SWSAP1	0.080169	0.115832	1.30507e-11	2.40488e-09	1.0	.	chr19:10701324-10701545;chr19:11089294-11089559;chr19:11375498-11375663
C00126	3	chr6	755488	distal:1;proximal:2	H2AC13;H2BC13;ZSCAN23	0.084777	0.135371	8.34666e-13	1.63689e-10	1.0	.	chr6:27688126-27688395;chr6:27807552-27807702;chr6:28443098-28443614
C00127	3	chr12	316318	distal:0;proximal:3	COPZ1;ENSG00000273049;HOXC-AS3;HOXC10;HOXC9;NFE2	0.050964	0.062611	1.4645e-05	0.00173542	1.0	.	chr12:53984887-53985169;chr12:53994714-53994865;chr12:54300814-54301205
C00128	3	chr22	206675	distal:2;proximal:1	ENSG00000290799;LRRC74B	0.052874	0.062231	7.07002e-06	0.000865469	1.0	.	chr22:21045612-21046265;chr22:21112568-21112735;chr22:21251964-21252287
C00129	3	chr1	345539	distal:2;proximal:1	ENSG00000260805;ENSG00000288007	0.075787	0.145555	1.54905e-10	2.69447e-08	1.0	.	chr1:212213691-212213929;chr1:212308311-212308509;chr1:212558483-212559230
C00130	3	chr1	241526	distal:1;proximal:2	ENSG00000289593;GPATCH4	0.128102	0.17577	0	0	1.0	.	chr1:156505360-156505583;chr1:156601404-156601784;chr1:156746675-156746886
C00131	3	chr15	822608	distal:3;proximal:0	.	0.111921	0.172513	0	0	1.0	.	chr15:75119736-75120413;chr15:75786285-75786547;chr15:75942136-75942344
C00132	3	chr10	554280	distal:3;proximal:0	.	0.267179	0.350871	0	0	1.0	.	chr10:42551537-42551687;chr10:42866795-42866998;chr10:43105573-43105817
C00133	3	chr3	588602	distal:1;proximal:2	ENSG00000286531;ITIH3	0.047447	0.053156	5.23742e-05	0.00584493	1.0	.	chr3:52794124-52794330;chr3:53196047-53196221;chr3:53382576-53382726
C00134	3	chr3	315532	distal:0;proximal:3	NFKBIZ;SENP7	0.056024	0.064441	2.01269e-06	0.000259455	1.0	.	chr3:101512543-101512853;chr3:101512916-101513130;chr3:101827863-101828075
