peak	degree	kcore	n_cliques	n_modules	types	genes	states
chr10:101454373-101454811	2	1	0	0	distal	.	.
chr10:101485966-101486318	1	1	0	0	distal	.	.
chr10:101566407-101566913	2	1	0	0	distal	.	.
chr10:101570254-101570623	2	2	1	1	proximal	DPCD	.
chr10:101579355-101579523	1	1	0	0	distal	.	.
chr10:101587927-101588342	5	1	0	0	proximal	POLL	.
chr10:101667869-101668195	2	2	1	1	distal	.	.
chr10:101695095-101695405	2	1	0	0	proximal	ENSG00000286489,FBXW4	.
chr10:101783360-101783510	1	1	0	0	proximal	NPM3	.
chr10:101817953-101818267	1	1	0	0	proximal	KCNIP2-AS1,OGA	.
chr10:101829598-101829810	2	1	0	0	distal	.	.
chr10:101836070-101836272	1	1	0	0	distal	.	.
chr10:101840748-101841003	1	1	0	0	distal	.	.
chr10:101841118-101841408	2	1	0	0	distal	.	.
chr10:101857028-101857236	4	2	2	2	distal	.	.
chr10:102035767-102035917	1	1	0	0	distal	.	.
chr10:102055819-102056437	2	2	1	1	proximal	ARMH3	.
chr10:102058017-102058167	2	1	0	0	distal	.	.
chr10:102088540-102088999	5	2	1	1	distal	.	.
chr10:102091154-102091304	1	1	0	0	distal	.	.
chr10:102132517-102132707	1	1	0	0	proximal	PPRC1	.
chr10:102132814-102133124	3	2	1	1	proximal	PPRC1	.
chr10:102133576-102133828	1	1	0	0	proximal	PPRC1	.
chr10:102169501-102169770	4	1	0	0	distal	.	.
chr10:102229874-102230347	3	1	0	0	distal	.	.
chr10:102230444-102230787	1	1	0	0	distal	.	.
chr10:102231081-102231529	1	1	0	0	distal	.	.
chr10:102231878-102232072	1	1	0	0	distal	.	.
chr10:102241551-102241844	1	1	0	0	proximal	PITX3	.
chr10:102245148-102245664	2	1	0	0	proximal	GBF1	.
chr10:102313188-102313403	2	1	0	0	distal	.	.
chr10:102393954-102394482	1	1	0	0	proximal	NFKB2	.
chr10:102399547-102399985	1	1	0	0	distal	.	.
chr10:102403910-102404070	1	1	0	0	distal	.	.
chr10:102419619-102419843	1	1	0	0	proximal	FBXL15	.
chr10:102420964-102421454	1	1	0	0	proximal	PSD	.
chr10:102450379-102450590	1	1	0	0	proximal	C10orf95-AS1	.
chr10:102461234-102461469	2	1	0	0	proximal	MFSD13A	.
chr10:102461861-102462150	3	2	1	1	proximal	MFSD13A	.
chr10:102503718-102504101	1	1	0	0	proximal	SUFU	.
chr10:102545832-102545996	1	1	0	0	distal	.	.
chr10:102607810-102607960	1	1	0	0	distal	.	.
chr10:102644906-102645141	1	1	0	0	proximal	TRIM8,TRIM8-DT	.
chr10:102645682-102645880	1	1	0	0	distal	.	.
chr10:102713694-102714946	1	1	0	0	proximal	ARL3,SFXN2	.
chr10:102729316-102729590	2	1	0	0	distal	.	.
chr10:102743582-102744180	1	1	0	0	proximal	WBP1L	.
chr10:102753014-102753410	1	1	0	0	distal	.	.
chr10:102776002-102776173	1	1	0	0	distal	.	.
chr10:102854150-102854742	1	1	0	0	proximal	BORCS7,BORCS7-ASMT,ENSG00000282772	.
chr10:102869588-102869817	1	1	0	0	proximal	AS3MT	.
chr10:102917574-102917725	3	2	1	1	proximal	CNNM2,ENSG00000286575	.
chr10:102917838-102918615	1	1	0	0	proximal	CNNM2,ENSG00000286575	.
chr10:102998278-102998499	2	1	0	0	distal	.	.
chr10:103053939-103054126	1	1	0	0	distal	.	.
chr10:103192767-103193451	3	1	0	0	distal	.	.
chr10:103350576-103350726	1	1	0	0	proximal	PCGF6	.
chr10:103350843-103351298	3	1	0	0	proximal	PCGF6	.
chr10:103367732-103368041	2	1	0	0	proximal	TAF5	.
chr10:103389580-103390115	2	1	0	0	distal	.	.
chr10:103564905-103565116	1	1	0	0	distal	.	.
chr10:103605572-103605722	1	1	0	0	distal	.	.
chr10:103661404-103662081	1	1	0	0	distal	.	.
chr10:103766257-103766445	1	1	0	0	distal	.	.
chr10:103789553-103789703	1	1	0	0	distal	.	.
chr10:103829712-103829862	1	1	0	0	distal	.	.
chr10:103872159-103872487	1	1	0	0	distal	.	.
chr10:103884741-103884955	1	1	0	0	distal	.	.
chr10:103888162-103888312	1	1	0	0	distal	.	.
chr10:103908323-103908556	2	1	0	0	distal	.	.
chr10:103917748-103917916	2	1	0	0	proximal	STN1	.
chr10:103918080-103918702	1	1	0	0	proximal	STN1	.
chr10:104071306-104071488	2	1	0	0	distal	.	.
chr10:104338081-104338495	1	1	0	0	proximal	ITPRIP	.
chr10:104353503-104353884	1	1	0	0	proximal	CFAP58,CFAP58-DT	.
chr10:109884234-109884658	1	1	0	0	distal	.	.
chr10:109923332-109923644	1	1	0	0	proximal	XPNPEP1	.
chr10:110007370-110008492	2	1	0	0	proximal	ADD3-AS1	.
chr10:11018281-11018634	1	1	0	0	distal	.	.
chr10:110304871-110305428	1	1	0	0	proximal	SMNDC1	.
chr10:110318233-110318383	1	1	0	0	distal	.	.
chr10:110512928-110513084	1	1	0	0	distal	.	.
chr10:110567239-110567749	1	1	0	0	proximal	SMC3	.
chr10:110567835-110568027	3	1	0	0	proximal	SMC3	.
chr10:110644129-110644594	1	1	0	0	proximal	RBM20	.
chr10:110672208-110672631	1	1	0	0	distal	.	.
chr10:110918514-110918859	1	1	0	0	proximal	BBIP1,SHOC2	.
chr10:111143047-111143240	1	1	0	0	distal	.	.
chr10:111375345-111375495	1	1	0	0	distal	.	.
chr10:113227707-113227909	1	1	0	0	distal	.	.
chr10:113429825-113429988	1	1	0	0	distal	.	.
chr10:113538311-113538461	2	1	0	0	distal	.	.
chr10:113563485-113563770	1	1	0	0	distal	.	.
chr10:113678878-113679443	2	1	0	0	proximal	CASP7	.
chr10:113679668-113680046	3	1	0	0	proximal	CASP7	.
chr10:113680124-113680400	1	1	0	0	distal	.	.
chr10:113854306-113854678	1	1	0	0	proximal	DCLRE1A,NHLRC2	.
chr10:113854792-113855293	1	1	0	0	proximal	DCLRE1A,NHLRC2	.
chr10:113873615-113873765	1	1	0	0	distal	.	.
chr10:113874411-113874563	1	1	0	0	distal	.	.
chr10:114208007-114208248	1	1	0	0	distal	.	.
chr10:114340214-114340368	1	1	0	0	distal	.	.
chr10:114499695-114499909	1	1	0	0	distal	.	.
chr10:114755014-114755164	2	1	0	0	distal	.	.
chr10:114768199-114768459	1	1	0	0	proximal	ABLIM1	.
chr10:114822362-114822544	1	1	0	0	proximal	FHIP2A	.
chr10:114938150-114938494	1	1	0	0	proximal	TRUB1	.
chr10:115056317-115056581	1	1	0	0	distal	.	.
chr10:116045808-116046075	1	1	0	0	distal	.	.
chr10:116272743-116273038	1	1	0	0	distal	.	.
chr10:116610034-116610269	1	1	0	0	distal	.	.
chr10:116849698-116849931	1	1	0	0	proximal	ENO4,HSPA12A	.
chr10:117004593-117005332	1	1	0	0	proximal	ENSG00000287655	.
chr10:117137011-117137256	1	1	0	0	distal	.	.
chr10:117137601-117137757	1	1	0	0	proximal	VAX1	.
chr10:117185716-117185866	1	1	0	0	distal	.	.
chr10:117216743-117216911	1	1	0	0	distal	.	.
chr10:117542222-117542405	1	1	0	0	proximal	EMX2	.
chr10:117614222-117614372	1	1	0	0	distal	.	.
chr10:117728326-117728476	1	1	0	0	distal	.	.
chr10:117860956-117861106	1	1	0	0	distal	.	.
chr10:117987299-117987449	1	1	0	0	distal	.	.
chr10:118241679-118241836	1	1	0	0	proximal	LINC02944	.
chr10:118341793-118342131	1	1	0	0	proximal	FAM204A,LINC00867	.
chr10:118342222-118342436	1	1	0	0	proximal	FAM204A,LINC00867	.
chr10:118501561-118501736	1	1	0	0	distal	.	.
chr10:118754161-118754311	1	1	0	0	distal	.	.
chr10:118818399-118818549	1	1	0	0	distal	.	.
chr10:118992065-118992306	1	1	0	0	distal	.	.
chr10:119011405-119011592	1	1	0	0	distal	.	.
chr10:119022871-119023038	1	1	0	0	distal	.	.
chr10:119029320-119029758	2	1	0	0	proximal	LINC03036,NANOS1	.
chr10:119081303-119081457	2	2	1	1	proximal	EIF3A,ENSG00000289126	.
chr10:119103827-119104410	2	1	0	0	proximal	DENND10	.
chr10:119139586-119139736	2	1	0	0	distal	.	.
chr10:119165202-119165828	1	1	0	0	proximal	SFXN4	.
chr10:119178719-119178975	3	2	1	1	proximal	PRDX3	.
chr10:119209543-119209699	1	1	0	0	distal	.	.
chr10:11944292-11944442	1	1	0	0	distal	.	.
chr10:119489628-119489959	2	1	0	0	distal	.	.
chr10:119542442-119542905	1	1	0	0	proximal	RGS10	.
chr10:119602611-119602761	1	1	0	0	distal	.	.
chr10:119608405-119608864	1	1	0	0	distal	.	.
chr10:119872676-119873193	1	1	0	0	distal	.	.
chr10:119873414-119873606	1	1	0	0	distal	.	.
chr10:119892460-119892814	1	1	0	0	proximal	MCMBP,SEC23IP	.
chr10:119907870-119908096	2	2	1	1	distal	.	.
chr10:12042741-12043489	1	1	0	0	proximal	UPF2	.
chr10:12053677-12054105	1	1	0	0	distal	.	.
chr10:12068397-12069313	1	1	0	0	proximal	DHTKD1	.
chr10:120970819-120970969	1	1	0	0	distal	.	.
chr10:120978831-120979000	1	1	0	0	distal	.	.
chr10:120979451-120980032	1	1	0	0	proximal	ENSG00000227307	.
chr10:121112808-121113019	1	1	0	0	distal	.	.
chr10:121310174-121310747	1	1	0	0	distal	.	.
chr10:121377766-121377916	1	1	0	0	distal	.	.
chr10:121814024-121814218	1	1	0	0	distal	.	.
chr10:121956715-121956921	1	1	0	0	proximal	ENSG00000276742	.
chr10:121974336-121974566	1	1	0	0	proximal	NSMCE4A	.
chr10:122077782-122078136	1	1	0	0	distal	.	.
chr10:122142737-122143065	1	1	0	0	distal	.	.
chr10:122250185-122250335	1	1	0	0	distal	.	.
chr10:122298847-122299047	1	1	0	0	distal	.	.
chr10:122374393-122374879	1	1	0	0	proximal	PLEKHA1	.
chr10:122879510-122880120	2	1	0	0	proximal	ENSG00000286088,FAM24B	.
chr10:122953782-122954516	2	1	0	0	proximal	C10orf88,PSTK	.
chr10:123133014-123133379	1	1	0	0	distal	.	.
chr10:123153960-123154545	1	1	0	0	proximal	BUB3	.
chr10:123155055-123155205	2	1	0	0	proximal	BUB3	.
chr10:123393201-123393367	1	1	0	0	distal	.	.
chr10:123994447-123994619	1	1	0	0	distal	.	.
chr10:124388935-124389166	1	1	0	0	distal	.	.
chr10:124450172-124450476	1	1	0	0	proximal	NKX1-2	.
chr10:124530264-124530414	1	1	0	0	distal	.	.
chr10:124655761-124655994	1	1	0	0	distal	.	.
chr10:124693925-124694180	2	1	0	0	distal	.	.
chr10:124791605-124792246	3	1	0	0	proximal	EEF1AKMT2,ENSG00000258539	.
chr10:124916450-124916995	2	1	0	0	proximal	ENSG00000249456,ENSG00000289280	.
chr10:124952189-124952354	1	1	0	0	distal	.	.
chr10:124970666-124970872	1	1	0	0	distal	.	.
chr10:125209095-125209302	1	1	0	0	distal	.	.
chr10:12556244-12556394	1	1	0	0	distal	.	.
chr10:126250063-126250305	1	1	0	0	distal	.	.
chr10:126325146-126325364	1	1	0	0	distal	.	.
chr10:126947963-126948215	1	1	0	0	distal	.	.
chr10:127156645-127156898	1	1	0	0	distal	.	.
chr10:12720444-12720595	1	1	0	0	distal	.	.
chr10:1300274-1300491	2	1	0	0	distal	.	.
chr10:13099949-13100171	1	1	0	0	proximal	CCDC3,ENSG00000289266,OPTN	.
chr10:13161704-13161896	1	1	0	0	proximal	MCM10	.
chr10:131823689-131823863	1	1	0	0	distal	.	.
chr10:131900493-131901090	1	1	0	0	proximal	PPP2R2D	.
chr10:131981419-131981569	1	1	0	0	proximal	BNIP3	.
chr10:132142516-132142728	1	1	0	0	distal	.	.
chr10:132331567-132332078	1	1	0	0	proximal	LRRC27,STK32C	.
chr10:132430193-132430343	1	1	0	0	distal	.	.
chr10:132458555-132458774	2	1	0	0	distal	.	.
chr10:132517087-132517363	1	1	0	0	distal	.	.
chr10:132755328-132755485	1	1	0	0	distal	.	.
chr10:132931267-132931417	1	1	0	0	distal	.	.
chr10:13299777-13300227	1	1	0	0	distal	.	.
chr10:13302127-13302586	1	1	0	0	proximal	PHYH	.
chr10:133111694-133111962	1	1	0	0	distal	.	.
chr10:133261924-133262217	1	1	0	0	distal	.	.
chr10:133324434-133324837	3	1	0	0	distal	.	.
chr10:133357597-133358388	1	1	0	0	proximal	FUOM	.
chr10:133378315-133378571	1	1	0	0	proximal	PAOX	.
chr10:13347732-13348031	3	1	0	0	proximal	ENSG00000289585,SEPHS1	.
chr10:133520202-133520600	1	1	0	0	proximal	CYP2E1	.
chr10:133660636-133660836	1	1	0	0	distal	.	.
chr10:13440221-13440470	2	1	0	0	distal	.	.
chr10:13528931-13529451	1	1	0	0	proximal	BEND7,BEND7-DT	.
chr10:135290-135492	1	1	0	0	distal	.	.
chr10:13788023-13788250	1	1	0	0	distal	.	.
chr10:14134457-14134607	1	1	0	0	distal	.	.
chr10:14643381-14643531	1	1	0	0	distal	.	.
chr10:14777488-14777638	1	1	0	0	distal	.	.
chr10:14877871-14879148	1	1	0	0	proximal	SUV39H2,SUV39H2-DT	.
chr10:14945748-14945964	1	1	0	0	distal	.	.
chr10:15024528-15024826	1	1	0	0	distal	.	.
chr10:15585304-15585546	1	1	0	0	distal	.	.
chr10:15605129-15605301	1	1	0	0	distal	.	.
chr10:15719640-15720171	1	1	0	0	proximal	ITGA8	.
chr10:1577488-1577756	1	1	0	0	distal	.	.
chr10:16436754-16437396	1	1	0	0	proximal	PTER	.
chr10:16952902-16953117	1	1	0	0	distal	.	.
chr10:17137440-17137616	1	1	0	0	proximal	ENSG00000273153	.
chr10:17201335-17201948	1	1	0	0	proximal	TRDMT1	.
chr10:17228429-17229353	1	1	0	0	proximal	VIM	.
chr10:21327334-21327653	1	1	0	0	distal	.	.
chr10:21496064-21496413	1	1	0	0	distal	.	.
chr10:21516175-21516339	1	1	0	0	distal	.	.
chr10:21525480-21526698	2	1	0	0	proximal	ENSG00000286881,SKIDA1	.
chr10:21527184-21527589	1	1	0	0	proximal	ENSG00000286881	.
chr10:21593572-21593722	1	1	0	0	distal	.	.
chr10:21724848-21725088	1	1	0	0	distal	.	.
chr10:22155251-22155492	2	1	0	0	distal	.	.
chr10:22379331-22379642	1	1	0	0	distal	.	.
chr10:22468997-22469208	1	1	0	0	distal	.	.
chr10:22553309-22553493	2	1	0	0	distal	.	.
chr10:22714151-22714808	1	1	0	0	proximal	PIP4K2A	.
chr10:23068232-23068448	1	1	0	0	distal	.	.
chr10:23408489-23408689	1	1	0	0	distal	.	.
chr10:23438827-23439246	1	1	0	0	proximal	ENSG00000287124,OTUD1	.
chr10:24221588-24221749	1	1	0	0	distal	.	.
chr10:24724589-24725072	2	1	0	0	proximal	ARHGAP21	.
chr10:25174525-25175160	1	1	0	0	proximal	GPR158	.
chr10:25934684-25935135	1	1	0	0	proximal	MYO3A	.
chr10:26173046-26173230	1	1	0	0	distal	.	.
chr10:26566925-26567294	1	1	0	0	distal	.	.
chr10:26622953-26623130	1	1	0	0	distal	.	.
chr10:26697541-26697789	1	1	0	0	proximal	PDSS1	.
chr10:26839220-26839459	1	1	0	0	distal	.	.
chr10:26870579-26870729	1	1	0	0	distal	.	.
chr10:27201049-27201203	1	1	0	0	distal	.	.
chr10:28678400-28678550	1	1	0	0	proximal	BAMBI	.
chr10:28823012-28823338	2	2	1	1	distal	.	.
chr10:28987520-28987687	3	2	1	1	distal	.	.
chr10:29409695-29409975	1	1	0	0	proximal	ENSG00000287402,SVIL-AS1	.
chr10:29449133-29449283	2	2	1	1	distal	.	.
chr10:29496447-29496597	1	1	0	0	distal	.	.
chr10:30168258-30168408	1	1	0	0	distal	.	.
chr10:30784205-30784376	1	1	0	0	distal	.	.
chr10:30785121-30785449	1	1	0	0	distal	.	.
chr10:31133757-31133948	1	1	0	0	distal	.	.
chr10:31320465-31320836	2	1	0	0	proximal	ZEB1-AS1	.
chr10:32016702-32016852	1	1	0	0	distal	.	.
chr10:32347022-32347301	1	1	0	0	proximal	ENSG00000233825,EPC1-AS1	.
chr10:3239683-3239868	1	1	0	0	distal	.	.
chr10:34667822-34668008	1	1	0	0	distal	.	.
chr10:35336325-35336764	2	1	0	0	proximal	CCNY-AS1	.
chr10:35640665-35640834	1	1	0	0	proximal	ENSG00000287528	.
chr10:3785160-3785893	1	1	0	0	proximal	ENSG00000288755,KLF6	.
chr10:37857306-37857874	1	1	0	0	proximal	ENSG00000236514,ZNF248	.
chr10:37976166-37976402	1	1	0	0	proximal	ZNF25,ZNF25-DT	.
chr10:42090636-42090964	1	1	0	0	distal	.	.
chr10:42551537-42551687	2	2	1	1	distal	.	.
chr10:42578690-42578840	1	1	0	0	distal	.	.
chr10:42866795-42866998	3	2	1	1	distal	.	.
chr10:43105573-43105817	2	2	1	1	distal	.	.
chr10:43436259-43436903	1	1	0	0	proximal	ZNF487	.
chr10:43436983-43437367	1	1	0	0	proximal	ZNF487	.
chr10:43455538-43455993	1	1	0	0	distal	.	.
chr10:44233705-44233859	1	1	0	0	distal	.	.
chr10:44974970-44975172	1	1	0	0	distal	.	.
chr10:455722-455969	1	1	0	0	distal	.	.
chr10:45991565-45991723	1	1	0	0	distal	.	.
chr10:46030274-46030792	1	1	0	0	proximal	NCOA4	.
chr10:46309373-46309532	1	1	0	0	distal	.	.
chr10:46598028-46598178	1	1	0	0	proximal	ENSG00000229227,SYT15-AS1	.
chr10:46841151-46841404	2	1	0	0	distal	.	.
chr10:46845048-46845198	1	1	0	0	distal	.	.
chr10:46876989-46877150	1	1	0	0	distal	.	.
chr10:47312182-47312402	1	1	0	0	distal	.	.
chr10:47495875-47496025	1	1	0	0	proximal	ENSG00000224919	.
chr10:47570525-47570724	1	1	0	0	distal	.	.
chr10:47743605-47744154	1	1	0	0	distal	.	.
chr10:48289775-48289941	1	1	0	0	distal	.	.
chr10:48430978-48431128	1	1	0	0	distal	.	.
chr10:49022753-49022903	1	1	0	0	distal	.	.
chr10:49538955-49539292	2	1	0	0	proximal	ERCC6	.
chr10:49761816-49762522	3	1	0	0	proximal	OGDHL	.
chr10:49892803-49892953	1	1	0	0	distal	.	.
chr10:49941804-49942141	1	1	0	0	proximal	TIMM23B,TIMM23B-AGAP6	.
chr10:49978704-49979001	1	1	0	0	distal	.	.
chr10:49988445-49988735	1	1	0	0	proximal	ENSG00000285803	.
chr10:50067557-50068030	1	1	0	0	proximal	FAM21EP,WASHC2A	.
chr10:50397383-50397586	1	1	0	0	distal	.	.
chr10:50464311-50464477	1	1	0	0	distal	.	.
chr10:50624177-50625021	1	1	0	0	proximal	SGMS1	.
chr10:5548876-5549148	1	1	0	0	distal	.	.
chr10:55516239-55516389	1	1	0	0	distal	.	.
chr10:55548136-55548286	1	1	0	0	distal	.	.
chr10:55601837-55602350	1	1	0	0	distal	.	.
chr10:56360938-56361539	1	1	0	0	proximal	ENSG00000287016,ZWINT	.
chr10:5692708-5693283	1	1	0	0	distal	.	.
chr10:5812857-5813047	1	1	0	0	distal	.	.
chr10:5813345-5813981	1	1	0	0	proximal	ENSG00000272764	.
chr10:5853549-5853929	2	1	0	0	distal	.	.
chr10:5889585-5890292	2	1	0	0	proximal	ANKRD16,FBH1	.
chr10:61001374-61001696	1	1	0	0	proximal	LINC00845,RHOBTB1	.
chr10:6103093-6103293	1	1	0	0	distal	.	.
chr10:6163992-6164345	1	1	0	0	distal	.	.
chr10:61903747-61903942	1	1	0	0	distal	.	.
chr10:6194908-6195058	1	1	0	0	distal	.	.
chr10:6201562-6202021	1	1	0	0	proximal	ENSG00000213994	.
chr10:6202637-6203006	1	1	0	0	proximal	ENSG00000213994	.
chr10:63065922-63066267	1	1	0	0	distal	.	.
chr10:63268822-63269411	1	1	0	0	distal	.	.
chr10:63521102-63522208	3	1	0	0	proximal	JMJD1C,REEP3	.
chr10:63544743-63544893	1	1	0	0	distal	.	.
chr10:63605735-63605895	1	1	0	0	distal	.	.
chr10:63654315-63654465	1	1	0	0	distal	.	.
chr10:6408753-6408903	1	1	0	0	distal	.	.
chr10:67788485-67788776	2	1	0	0	distal	.	.
chr10:678464-678618	1	1	0	0	distal	.	.
chr10:67855644-67855835	1	1	0	0	distal	.	.
chr10:68166368-68166518	1	1	0	0	distal	.	.
chr10:68231080-68231910	1	1	0	0	proximal	ATOH7	.
chr10:68331522-68331756	1	1	0	0	proximal	HNRNPH3	.
chr10:68331823-68332524	3	1	0	0	proximal	HNRNPH3,PBLD	.
chr10:68332633-68332990	1	1	0	0	proximal	PBLD	.
chr10:68416941-68417091	1	1	0	0	distal	.	.
chr10:68471598-68472074	1	1	0	0	proximal	DNA2	.
chr10:68527332-68528097	1	1	0	0	proximal	SLC25A16	.
chr10:68555058-68555327	2	1	0	0	distal	.	.
chr10:68561486-68561663	2	1	0	0	distal	.	.
chr10:68759009-68759209	1	1	0	0	distal	.	.
chr10:68826752-68827610	1	1	0	0	proximal	STOX1	.
chr10:68840799-68840957	1	1	0	0	distal	.	.
chr10:68891474-68891643	1	1	0	0	distal	.	.
chr10:68900775-68901762	1	1	0	0	proximal	DDX50	.
chr10:68923972-68924416	2	1	0	0	distal	.	.
chr10:68955779-68955929	1	1	0	0	proximal	DDX21	.
chr10:68988514-68989585	1	1	0	0	proximal	KIFBP	.
chr10:69063364-69063514	1	1	0	0	distal	.	.
chr10:69318032-69318527	2	1	0	0	distal	.	.
chr10:69352216-69352402	1	1	0	0	distal	.	.
chr10:69426896-69427438	1	1	0	0	distal	.	.
chr10:69451261-69452030	1	1	0	0	proximal	TSPAN15	.
chr10:69507218-69507531	1	1	0	0	distal	.	.
chr10:69630074-69630317	1	1	0	0	proximal	FAM241B	.
chr10:69743306-69743470	1	1	0	0	distal	.	.
chr10:69958396-69958546	1	1	0	0	distal	.	.
chr10:70116303-70116501	1	1	0	0	distal	.	.
chr10:7012887-7013047	1	1	0	0	distal	.	.
chr10:70132151-70132337	1	1	0	0	proximal	AIFM2	.
chr10:70132741-70133075	1	1	0	0	proximal	AIFM2	.
chr10:70145693-70146092	2	1	0	0	proximal	TYSND1	.
chr10:70146604-70147156	3	1	0	0	proximal	TYSND1	.
chr10:70170437-70170836	1	1	0	0	proximal	SAR1A	.
chr10:70170912-70171081	1	1	0	0	proximal	SAR1A	.
chr10:70215926-70216076	1	1	0	0	distal	.	.
chr10:70382524-70382909	2	1	0	0	proximal	LRRC20	.
chr10:70403973-70404674	1	1	0	0	proximal	EIF4EBP2	.
chr10:70405049-70405199	1	1	0	0	proximal	EIF4EBP2	.
chr10:70469303-70469453	1	1	0	0	distal	.	.
chr10:70478588-70478945	1	1	0	0	proximal	PALD1	.
chr10:70583282-70583446	1	1	0	0	distal	.	.
chr10:70603691-70603893	1	1	0	0	distal	.	.
chr10:70843418-70843568	1	1	0	0	distal	.	.
chr10:70887865-70888373	1	1	0	0	proximal	PCBD1	.
chr10:70925803-70925980	1	1	0	0	distal	.	.
chr10:712090-712240	1	1	0	0	distal	.	.
chr10:71212388-71212735	1	1	0	0	proximal	UNC5B	.
chr10:71319032-71319295	1	1	0	0	proximal	SLC29A3	.
chr10:71376904-71377054	2	1	0	0	distal	.	.
chr10:71377395-71377702	1	1	0	0	distal	.	.
chr10:71384313-71384598	1	1	0	0	distal	.	.
chr10:71443567-71443717	1	1	0	0	distal	.	.
chr10:71592585-71592795	2	1	0	0	distal	.	.
chr10:71630602-71630752	1	1	0	0	distal	.	.
chr10:71765948-71766098	2	1	0	0	distal	.	.
chr10:71812035-71812241	3	1	0	0	distal	.	.
chr10:71871445-71871595	2	1	0	0	distal	.	.
chr10:71880533-71880683	1	1	0	0	distal	.	.
chr10:71888985-71889509	1	1	0	0	proximal	ENSG00000289592	.
chr10:71896906-71897165	1	1	0	0	distal	.	.
chr10:72028183-72028333	3	1	0	0	distal	.	.
chr10:72216297-72216447	1	1	0	0	proximal	ANAPC16,ASCC1	.
chr10:72255152-72255359	1	1	0	0	distal	.	.
chr10:72297668-72298456	1	1	0	0	distal	.	.
chr10:72332061-72332412	3	1	0	0	distal	.	.
chr10:72679088-72679238	1	1	0	0	distal	.	.
chr10:72711869-72712019	1	1	0	0	distal	.	.
chr10:73022177-73022327	1	1	0	0	distal	.	.
chr10:73110385-73110545	1	1	0	0	proximal	NUDT13	.
chr10:73110953-73111269	1	1	0	0	proximal	NUDT13	.
chr10:7312191-7312369	1	1	0	0	distal	.	.
chr10:73168035-73168710	1	1	0	0	proximal	ECD,FAM149B1	.
chr10:73247148-73247418	1	1	0	0	proximal	DNAJC9,DNAJC9-AS1,ENSG00000288559	.
chr10:73495523-73496203	1	1	0	0	proximal	PPP3CB,PPP3CB-AS1	.
chr10:73597301-73597451	1	1	0	0	distal	.	.
chr10:73601767-73601981	2	1	0	0	distal	.	.
chr10:73625227-73625594	3	1	0	0	proximal	ENSG00000268584,USP54	.
chr10:73625750-73626228	1	1	0	0	proximal	ENSG00000268584,USP54	.
chr10:73635776-73636090	1	1	0	0	distal	.	.
chr10:73664162-73664366	1	1	0	0	proximal	SYNPO2L	.
chr10:7370000-7370409	1	1	0	0	distal	.	.
chr10:73729842-73730819	1	1	0	0	proximal	BMS1P4,BMS1P4-AGAP5,ENSG00000290737,GLUD1P3	.
chr10:73781916-73782361	1	1	0	0	proximal	CHCHD1,ENSG00000288823	.
chr10:73848939-73849267	1	1	0	0	distal	.	.
chr10:73940707-73940925	2	1	0	0	distal	.	.
chr10:73966079-73966487	2	1	0	0	distal	.	.
