cluster	n_peaks	n_proximal	n_distal	n_genes	span	states	genes
1074	79	21	58	26	chr17:16653330-19347659 (2694kb)	.	ATPAF2,COPS3,ENSG00000264187,ENSG00000264666,ENSG00000264765,ENSG00000287910,ENSG00000290978,FLCN,FLII,FOXO3B,GID4,LLGL1,MED9,MIEF2,MPRIP,MYO15A,NT5M,PEMT,PLD6,RAI1,SMCR8,SREBF1,TOP3A,TRIM16L,ZNF286B,ZNF624
1121	68	27	41	37	chr17:41662776-45051790 (3389kb)	.	AOC4P,ATP6V0A1,ATXN7L3,ATXN7L3-AS1,BRCA1,CAVIN1,CNTD1,COA3,COASY,DHX8,ENSG00000259623,ENSG00000266929,ENSG00000267002,ENSG00000278829,ENSG00000287710,ENSG00000288909,ENSG00000288961,G6PC3,GRN,HAP1,HDAC5,HROB,IFI35,KLHL10,LINC00910,NAGLU,NBR1,NBR2,NT5C3B,PLEKHH3
910	63	29	34	32	chr15:73700327-76311751 (2611kb)	.	CCDC33,CLK3,CSK,DNM1P35,EDC3,ENSG00000260274,ENSG00000260288,ENSG00000260919,ENSG00000261775,ENSG00000274937,ENSG00000275454,ENSG00000275527,ETFA,IMP3,INSYN1,INSYN1-AS1,ISLR2,LOXL1-AS1,MAN2C1,MPI,NRG4,ODF3L1,PPCDC,PTPN9,SCAMP2,SEMA7A,SNX33,TMEM266,UBE2Q2,UBL7
570	58	41	17	40	chr1:25247046-28737299 (3490kb)	.	AHDC1,ARID1A,ATP5IF1,CEP85,DNAJC8,ENSG00000225886,ENSG00000227050,ENSG00000269971,ENSG00000271398,ENSG00000272432,ENSG00000286433,ENSG00000287244,ENSG00000289291,ENSG00000289452,ENSG00000290006,ENSG00000290123,FAM76A,GMEB1,GPATCH3,GPN2,GPR3,HMGN2,IFI6,MAP3K6,MED18,NUDC,PPP1R8,RPS6KA1,SESN2,SH3BGRL3
1198	58	27	31	34	chr17:74622891-76727265 (2104kb)	.	AANAT,ARMC7,ATP5PD,CASKIN2,CD300E,ENSG00000265342,ENSG00000277382,FBF1,FDXR,GALK1,GGA3,GRB2,GRIN2C,JMJD6,LLGL2,METTL23,MRPL38,MRPL58,MRPS7,NAT9,NT5C,NUP85,RECQL5,RNF157,SAP30BP,SLC25A19,SLC9A3R1,SLC9A3R1-AS1,SMIM5,SUMO2
2601	57	29	28	28	chr9:127155064-129671748 (2517kb)	.	AK1,BBLN,CDK9,COQ4,ENSG00000235007,ENSG00000261334,ENSG00000286112,FAM102A,GOLGA2,KYAT1,LRRC8A,LRSAM1,NAIF1,PIP5KL1,PTGES2,PTGES2-AS1,PTRH1,RPL12,SLC25A25,SLC27A4,SLC2A8,SPOUT1,SWI5,TOR2A,TRUB2,TTC16,URM1,ZNF79
1333	56	23	33	25	chr19:2598948-5436884 (2838kb)	.	APBA3,CACTIN-AS1,CELF5,CHAF1A,DPP9,EBI3,EEF2,ENSG00000267011,ENSG00000267231,ENSG00000267688,FSD1,FZR1,GIPC3,HDGFL2,HMG20B,MAP2K2,MRPL54,NCLN,NMRK2,PIAS4,PTPRS,SH3GL1,TBXA2R,TNFAIP8L1,ZNF554
1685	55	21	34	21	chr22:37051540-38869128 (1818kb)	.	C1QTNF6,CARD10,CBY1,ENSG00000235246,ENSG00000291015,FAM227A,GGA1,H1-0,JOSD1,KCNJ4,KCTD17,KDELR3,LGALS1,MICALL1,PDXP,PDXP-DT,PLA2G6,RAC2,TMEM184B,TPTEP2-CSNK1E,TRIOBP
1082	54	10	44	12	chr17:18424766-20389339 (1965kb)	.	B9D1,ENSG00000228157,ENSG00000262319,ENSG00000262681,ENSG00000266664,ENSG00000290454,FAM83G,GRAP,LGALS9C,MAPK7,MFAP4,SLC47A2
1290	51	26	25	34	chr19:9140561-12441644 (3301kb)	.	ANGPTL8,CDC37,CDKN2D,DNMT1,ENSG00000167807,ENSG00000267105,ENSG00000267179,ENSG00000267277,ENSG00000268870,ENSG00000274425,FDX2,ILF3,ILF3-DT,KANK2,KEAP1,LDLR,MRPL4,PIN1,PIN1-DT,PPAN,PPAN-P2RY11,QTRT1,RAVER1,S1PR2,S1PR5,SMARCA4,SWSAP1,ZNF121,ZNF317,ZNF440
1941	47	23	24	25	chr3:48100527-50979588 (2879kb)	.	APEH,CYB561D2,DALRD3,ENSG00000272104,ENSG00000290318,GMPPB,GNAI2,HYAL2,IFRD2,IP6K2,KLHDC8B,LSMEM2,MON1A,NPRL2,QARS1,RBM5,RBM6,RHOA,SEMA3F,TCTA,TMEM115,TRAIP,TUSC2,USP19,WDR6
588	39	20	19	29	chr12:55716350-57897290 (2181kb)	.	ANKRD52,BLOC1S1,CNPY2,CTDSP2,DCTN2,ENSG00000144785,ENSG00000245651,ENSG00000257449,ENSG00000258311,ENSG00000276272,ENSG00000285133,ENSG00000287715,GDF11,HSD17B6,ITGA7,LRP1,MARCHF9,MBD6,MIP,MYL6B,NAB2,NEMP1,PRIM1,PTGES3,R3HDM2,R3HDM2-DT,RPS26,SPRYD4,STAT2
2363	39	16	23	20	chr7:100094262-103082935 (2989kb)	.	AGFG2,ALKBH4,AP4M1,CASTOR3P,ENSG00000242798,ENSG00000286938,ENSG00000289886,IFT22,LRWD1,MBLAC1,MCM7,MUC12-AS1,NYAP1,PCOLCE-AS1,PLOD3,POLR2J3,RASA4,RASA4B,SRRT,ZNHIT1
2622	39	19	20	22	chr9:135500497-137877778 (2377kb)	.	AGPAT2,ANAPC2,CACNA1B,ENSG00000231864,ENSG00000272679,ENSG00000288873,ENTR1,EXD3,LINC02846,MRPS2,NELFB,NOXA1,NPDC1,NRARP,NSMF,PHPT1,PMPCA,QSOX2,RNF224,SNHG7,SSNA1,UAP1L1
292	34	15	19	25	chr11:60775439-62906263 (2131kb)	.	ASRGL1,C11orf98,CPSF7,CSKMT,CYB561A3,DAGLA,ENSG00000255118,ENSG00000255432,ENSG00000256591,ENSG00000269176,FADS2,FEN1,FTH1,GANAB,PRPF19,PRPF19-DT,SDHAF2,SLC3A2,SNHG1,SYT7,TKFC,TMEM138,TMEM179B,TMEM216,TMEM258
1656	34	16	18	22	chr22:28800869-31970923 (3170kb)	.	DRG1,EMID1,ENSG00000226471,ENSG00000240591,EWSR1,GAS2L1,KREMEN1,LINC01521,LINC02558,MORC2,NIPSNAP1,PATZ1,PES1,PRR14L,RHBDD3,TBC1D10A,TCN2,TUG1,UQCR10,XBP1,ZMAT5,ZNRF3-AS1
1141	31	13	18	15	chr17:46361901-49389974 (3028kb)	.	ARL17A,ARL17B,CALCOCO2,CDC27,ENSG00000250838,ENSG00000262879,ENSG00000289021,HOXB13,IGF2BP1,PNPO,SNF8,SP2-AS1,TBKBP1,TTLL6,UBE2Z
1376	31	15	16	15	chr19:4182435-7395219 (3213kb)	.	ALKBH7,ANKRD24,ARHGEF18-AS1,CATSPERD,DUS3L,GTF2F1,KDM4B,KHSRP,LONP1,NRTN,PLIN5,PTPRS,SAFB,SIRT6,TINCR
280	27	8	19	9	chr1:155050530-157489649 (2439kb)	.	ADAM15,ARHGEF11,CRABP2,ENSG00000289593,ENSG00000290592,GPATCH4,PMF1,PMF1-BGLAP,SSR2
2323	27	12	15	10	chr6:43021288-44470263 (1449kb)	.	CAPN11,CDC5L,DLK2,HSP90AB1,NFKBIE,POLH,RRP36,SLC35B2,XPO5,YIPF3
128	26	10	16	13	chr1:629441-2321123 (1692kb)	.	ATAD3B,B3GALT6,ENSG00000272106,ENSG00000273443,GNB1,GNB1-DT,HES4,ISG15,LINC00115,MIB2,MRPL20,PUSL1,SDF4
1302	25	9	16	12	chr19:12484410-14765723 (2281kb)	.	ADGRE3,DAND5,DDX39A,ENSG00000196826,ENSG00000269755,ENSG00000287254,FBXW9,LINC02926,ZNF333,ZNF564,ZNF791,ZSWIM4
1369	25	12	13	15	chr19:40056094-41364379 (1308kb)	.	B9D2,CCDC97,EGLN2,ENSG00000269296,ENSG00000269749,ENSG00000277453,ENSG00000286177,ITPKC,NUMBL,SERTAD1,SERTAD3,SERTAD3-AS1,SHKBP1,ZNF780A,ZNF780B
1630	25	11	14	16	chr22:19431659-21417718 (1986kb)	.	ARVCF,CRKL,ENSG00000272829,ENSG00000289960,ENSG00000290799,GNB1L,HIC2,KLHL22,LRRC74B,LZTR1,MED15,MRPL40,PI4KA,RTL10,SNAP29,TANGO2
1189	24	20	4	23	chr17:7023693-8376512 (1353kb)	.	AURKB,BCL6B,BORCS6,CNTROB,CYB5D1,DNAH2,DVL2,EIF4A1,EIF5A,ENSG00000233223,ENSG00000263620,ENSG00000264772,KRBA2,MPDU1,NEURL4,POLR2A,RNF227,SENP3,SLC2A4,TP53,TRAPPC1,VAMP2,ZBTB4
1225	24	12	12	17	chr17:81484643-82752115 (1267kb)	.	ALYREF,ARHGDIA,ARL16,CCDC137,CENPX,ENSG00000262831,ENSG00000265678,FOXK2,HEXD,HGS,LRRC45,MCRIP1,NARF,NARF-AS2,OGFOD3,OXLD1,TBCD
1698	24	7	17	9	chr22:40024789-41967242 (1942kb)	.	ACO2,ENSG00000289841,EP300,L3MBTL2,PHF5A,PMM1,SLC25A17,TNFRSF13C,TOB2
2533	24	16	8	15	chr8:143278672-144902313 (1624kb)	.	ADCK5,CPSF1,DGAT1,ENSG00000272115,ENSG00000272172,ENSG00000287222,GFUS,MAF1,MROH1,NRBP2,RPL8,TONSL,ZNF250,ZNF34,ZNF7
571	23	11	12	15	chr12:52879542-54379856 (1500kb)	.	ATP5MC2,COPZ1,EIF4B,ENSG00000257808,ENSG00000273049,ENSG00000283536,ENSG00000288663,HOXC-AS3,HOXC10,HOXC11,HOXC5,HOXC9,NFE2,PFDN5,TNS2
1360	23	10	13	12	chr19:37779540-40055695 (2276kb)	.	DYRK1B,EIF3K,ENSG00000266963,ENSG00000268055,ENSG00000287271,FBXO17,MAP4K1,MAP4K1-AS1,NFKBIB,PLEKHG2,SIRT2,ZNF780B
7	22	8	14	12	chr10:100654987-102854742 (2200kb)	.	BORCS7,BORCS7-ASMT,ENSG00000282772,KAZALD1,KCNIP2-AS1,MFSD13A,MRPL43,NFKB2,OGA,POLL,SFXN3,TWNK
639	22	6	16	8	chr1:30719078-32965120 (2246kb)	.	CCDC28B,ENSG00000264078,LINC01778,MATN1-AS1,PEF1,RNF19B,SNRNP40,ZCCHC17
281	21	8	13	10	chr1:15526421-16905292 (1379kb)	.	CASP9,CROCCP3,DNAJC16,ENSG00000272426,ENSG00000290122,FAM131C,FBXO42,NECAP2,SPEN,SZRD1
402	21	10	11	13	chr1:203026275-205750517 (2724kb)	.	BTG2,BTG2-DT,ENSG00000286572,ENSG00000287197,ENSG00000288934,LRRN2,NFASC,NUAK2,NUCKS1,PIK3C2B,PPFIA4,PPP1R15B,SOX13
448	21	9	12	10	chr12:120710351-122952548 (2242kb)	.	C12orf43,CLIP1,ENSG00000256950,ENSG00000287493,ENSG00000289831,MORN3,ORAI1,PSMD9,TMEM120B,UNC119B
1409	21	14	7	16	chr19:55088612-56120609 (1032kb)	.	CCDC106,DNAAF3,ENSG00000267649,ENSG00000286230,GARIN5B,PPP1R12C,RPL28,TMEM238,TNNI3,ZNF579,ZNF580,ZNF581,ZNF628,ZNF628-DT,ZNF787,ZNF865
2452	21	12	9	15	chr7:43577565-45136402 (1559kb)	.	CCM2,ENSG00000273432,ENSG00000287574,ENSG00000290872,MRPS24,NACAD,NUDCD3,OGDH,POLR2J4,PPIA,PURB,TBRG4,TMED4,UBE2D4,URGCP
597	20	11	9	16	chr12:5951256-6971052 (1020kb)	.	CD27-AS1,CDCA3,COPS7A,EMG1,ENSG00000285238,ENSG00000288814,ENSG00000289303,ENSG00000290146,MRPL51,NCAPD2,PHB2,TAPBPL,TPI1,USP5,VAMP1,ZNF384
1221	20	9	11	11	chr17:79970590-81977634 (2007kb)	.	ASPSCR1,BAIAP2,BAIAP2-DT,CEP131,EIF4A3,ENSG00000289764,GAA,PCYT2,RENO1,RPTOR,TSPAN10
2098	20	7	13	10	chr5:134089374-135930421 (1841kb)	.	CDKL3,CDKN2AIPNL,ENSG00000273345,ENSG00000277619,PCBD2,PITX1,SKP1,TCF7,TXNDC15,UBE2B
2147	20	7	13	7	chr5:176416435-178064493 (1648kb)	.	CDHR2,CLTB,FAM193B,FAM193B-DT,GPRIN1,GRK6,TMED9
531	19	7	12	5	chr1:234430011-236795953 (2366kb)	.	B3GALNT2,IRF2BP2,MTR,NID1,TOMM20
343	18	8	10	11	chr11:71928245-73185520 (1257kb)	.	ARAP1,ATG16L2,CLPB,ENSG00000285693,FCHSD2,INPPL1,PDE2A-AS1,RNF121,STARD10,XNDC1N,XNDC1N-ZNF705EP-ALG1L9P
642	18	3	15	2	chr1:30856378-32612129 (1756kb)	.	ENSG00000254545,PUM1
860	18	10	8	17	chr15:40367964-42273611 (1906kb)	.	DNAJC17,ENSG00000250379,ENSG00000274798,ENSG00000285920,GANC,ITPKA,JMJD7,JMJD7-PLA2G4B,KNSTRN,MAPKBP1,OIP5-AS1,RHOV,RPAP1,TMEM87A,VPS39,VPS39-DT,ZFYVE19
883	18	8	10	11	chr15:63487423-66387080 (2900kb)	.	CIAO2A,DPP8,INTS14,MAP2K1,SLC24A1,SNX1,SNX22,SPG21,TIPIN,USP3,ZNF609
560	17	10	7	11	chr12:48851463-50432768 (1581kb)	.	AQP6,BCDIN3D,BCDIN3D-AS1,FMNL3,KMT2D,NCKAP5L,SMARCD1,SPATS2,TMBIM6,TROAP,TUBA1B
1044	17	9	8	11	chr16:69167752-70608606 (1441kb)	.	AARS1,DDX19B,ENSG00000260537,EXOSC6,NFAT5,NOB1,NQO1,NQO1-DT,ST3GAL2,VPS4A,WWP2
1155	17	6	11	8	chr17:48795568-51457982 (2662kb)	.	DLX4,EME1,MRPL27,NXPH3,PPP1R9B,SPOP,TOB1,TOB1-AS1
2303	17	6	11	6	chr6:34609523-37930499 (3321kb)	.	DEF6,DINOL,KCTD20,PXT1,SRPK1,TEAD3
2315	17	9	8	11	chr6:41758894-44246104 (2487kb)	.	ENSG00000272114,ENSG00000290049,GUCA1B,HSP90AB1,PPP2R5D,PTK7,RPL7L1,SRF,TRERF1,UBR2,VEGFA
2534	17	9	8	10	chr8:143617210-145052578 (1435kb)	.	ADCK5,C8orf33,C8orf82,ENSG00000255224,ENSG00000290230,EXOSC4,GFUS,MFSD3,PPP1R16A,VPS28
1091	16	8	8	10	chr17:27672658-29913048 (2240kb)	.	BLTP2,ENSG00000264290,ENSG00000264647,ENSG00000264808,ENSG00000266642,ENSG00000290082,FLOT2,NUFIP2,PIGS,TAOK1
919	15	4	11	4	chr15:77527255-78751404 (1224kb)	.	ENSG00000259474,ENSG00000290424,HYKK,PSMA4
1035	15	11	4	15	chr16:66474822-68091953 (1617kb)	.	CES2,CIAO2B,CMTM4,CTCF,CTCF-DT,DDX28,DYNC1LI2,DYNC1LI2-DT,GFOD2,MATCAP1,RANBP10,THAP11,TMEM208,TPPP3,TSNAXIP1
1484	15	7	8	7	chr20:49133098-50988088 (1855kb)	.	B4GALT5,BCAS4,ENSG00000234698,LINC01275,SLC9A8,SNAI1,UBE2V1
1622	15	10	5	15	chr2:218034740-219521552 (1487kb)	.	AAMP,CNOT9,CYP27A1,DNAJB2,ENSG00000268603,ENSG00000288898,GLB1L,GMPPA,NHEJ1,PNKD,RUFY4,STK16,TNS1,TUBA4B,USP37
2151	15	7	8	7	chr5:177516670-178620035 (1103kb)	.	B4GALT7,DDX41,ENSG00000289390,HNRNPAB,N4BP3,PHYKPL,RMND5B
2251	15	7	8	9	chr6:149033000-151045424 (2012kb)	.	ENSG00000232891,ENSG00000278899,GINM1,LATS1,PLEKHG1,PPIL4,RAET1K,ULBP2,UST-AS2
2463	15	7	8	8	chr7:5513357-6716625 (1203kb)	.	ACTB,AIMP2,ENSG00000231704,FBXL18,INTS15,PMS2,RNF216,ZNF12
11	14	4	10	7	chr10:101695095-102998499 (1303kb)	.	ARMH3,CNNM2,ENSG00000286489,ENSG00000286575,FBXW4,TRIM8,TRIM8-DT
243	14	8	6	8	chr11:45771122-47825110 (2054kb)	.	AMBRA1,ATG13,CRY2,CSTPP1,HARBI1,LINC02716,LRP4,PACSIN3
297	14	5	9	6	chr1:160493946-161887433 (1393kb)	.	ATF6,ATF6-DT,ENSG00000289121,F11R,SDHC,USF1
1300	14	6	8	7	chr19:12239181-13061626 (822kb)	.	DAND5,ENSG00000267062,ENSG00000267458,ENSG00000268870,FARSA,ZNF443,ZNF791
2487	14	7	7	8	chr7:74535793-76318651 (1783kb)	.	ENSG00000289059,ENSG00000289346,ENSG00000290833,GTF2IRD2B,HIP1,NSUN5P1,POM121C,TMEM120A
601	13	8	5	11	chr12:6124272-7189647 (1065kb)	.	ENSG00000219410,ENSG00000255572,GAPDH,GAPDH-DT,GPR162,IFFO1,ING4,LRRC23,PEX5,PIANP,VWF
738	13	6	7	5	chr14:104224550-105489927 (1265kb)	.	ADSS1,CDCA4,CLBA1,SIVA1,TEDC1
945	13	6	7	6	chr15:89177828-90930482 (1753kb)	.	CRTC3,ENSG00000289128,MESP2,UNC45A,ZNF710,ZNF774
962	13	5	8	5	chr16:10269-858377 (848kb)	.	CHTF18,HBM,RHOT2,RPUSD1,WDR24
1453	13	6	7	7	chr20:34676528-36951946 (2275kb)	.	CNBD2,CPNE1,DSN1,ENSG00000277235,MMP24OS,RBM12,SAMHD1
2258	13	3	10	4	chr6:15400029-17394080 (1994kb)	.	ATXN1,ATXN1-AS1,CAP2,DTNBP1
2367	13	9	4	11	chr7:99088745-101085862 (1997kb)	.	AZGP1P1,ENSG00000291178,MOSPD3,SLC12A9-AS1,STAG3L5P,STAG3L5P-PVRIG2P-PILRB,TFR2,TRIM56,ZKSCAN5,ZNF3,ZNF394
2716	13	5	8	6	chrX:153460921-154479409 (1018kb)	.	ENSG00000280195,HCFC1,IDH3G,LAGE3,SRPK3,SSR4
2736	13	8	5	10	chrX:48521594-49879594 (1358kb)	.	CCDC22,EBP,ENSG00000286268,GLOD5,HDAC6,PRAF2,PRICKLE3,SYP,USP27X,USP27X-DT
168	12	8	4	10	chr11:118331938-119729612 (1398kb)	.	ABCG4,ARCN1,C2CD2L,CENATAC,CENATAC-DT,H2AX,HINFP,IFT46,NECTIN1,NECTIN1-DT
295	12	5	7	5	chr1:160951486-162118009 (1167kb)	.	B4GALT3,ENSG00000289121,ENSG00000289141,ENSG00000290115,USF1
918	12	4	8	6	chr15:77083793-79091821 (2008kb)	.	CIB2,ENSG00000277482,IDH3A,RASGRF1,SKIC8,TSPAN3
1085	12	1	11	1	chr17:20531998-21870775 (1339kb)	.	ENSG00000289453
1424	12	4	8	5	chr19:7550550-8424261 (874kb)	.	CTXN1,ENSG00000269139,KANK3,MARCHF2,SNAPC2
2738	12	8	4	7	chrX:48071654-49269890 (1198kb)	.	ENSG00000204620,ENSG00000287757,PPP1R3F,RBM3,TIMM17B,WAS,ZNF630
96	11	2	9	3	chr10:71319032-72712019 (1393kb)	.	ANAPC16,ASCC1,SLC29A3
140	11	6	5	7	chr1:108876532-110631038 (1755kb)	.	CELSR2,ENSG00000290117,GNAI3,KCNA2,PROK1,SARS1,WDR47
238	11	6	5	8	chr1:145190130-146387641 (1198kb)	.	ANKRD35,ENSG00000244619,ENSG00000287190,ENSG00000287978,GPR89A,LINC01719,NBPF25P,PIAS3
469	11	7	4	13	chr12:131894087-133265276 (1371kb)	.	CHFR,ENSG00000256632,ENSG00000256825,ENSG00000289516,ENSG00000291171,POLE,PXMP2,ULK1,ZNF10,ZNF140,ZNF26,ZNF605,ZNF891
1119	11	4	7	5	chr17:41530228-42267205 (737kb)	.	CNP,GHDC,JUP,KLHL10,NT5C3B
1182	11	5	6	6	chr17:63741470-64458189 (717kb)	.	DDX42,ENSG00000289957,ERN1,GH1,PSMC5,STRADA
1226	11	5	6	7	chr17:81552331-82863852 (1312kb)	.	DUS1L,ENSG00000260563,FASN,GPS1,LINC01970,RFNG,TEX19
1368	11	5	6	7	chr19:39846208-41397962 (1552kb)	.	BCKDHA,BLVRB,EXOSC5,FBL,MAP3K10,SERTAD1,SPTBN4
1692	11	6	5	7	chr22:38468257-39972961 (1505kb)	.	APOBEC3C,APOBEC3F,CBX6,DMC1,ENSG00000284554,KDELR3,SYNGR1
1720	11	9	2	11	chr2:26280923-27583133 (1302kb)	.	ABHD1,CAD,DPYSL5,EIF2B4,ENSG00000259080,KCNK3,NRBP1,PPM1G,SNX17,ZNF512,ZNF513
2375	11	1	10	1	chr7:102348430-102678686 (330kb)	.	ENSG00000279168
2484	11	6	5	6	chr7:73122870-74964265 (1841kb)	.	BCL7B,CASTOR2,EIF4H,FZD9,LIMK1,RFC2
104	10	1	9	1	chr10:74806115-76252538 (1446kb)	.	ENSG00000286715
573	10	6	4	7	chr12:53180338-54589007 (1409kb)	.	CSAD,ENSG00000260470,HOTAIR,HOXC13-AS,PPP1R1A,SCAT2,ZNF740
737	10	3	7	3	chr14:104094745-105481449 (1387kb)	.	AHNAK2,PACS2,ZBTB42
946	10	7	3	11	chr15:89334436-90932684 (1598kb)	.	BLM,CRTC3,CRTC3-AS1,ENSG00000261147,IDH2,IDH2-DT,MESP1,POLG,POLG-DT,TICRR,TTLL13
1037	10	5	5	5	chr16:66662508-68085690 (1423kb)	.	ENSG00000289991,NAE1,NFATC3,PSKH1,SLC9A5
1153	10	4	6	7	chr17:49567926-51057070 (1489kb)	.	CACNA1G,EME1,FAM117A,ITGA3,KAT7,MRPL27,PICART1
1349	10	6	4	12	chr19:35031224-36838207 (1807kb)	.	ENSG00000188223,ENSG00000267120,ENSG00000288942,LRFN3,PSENEN,SCN1B,THAP8,U2AF1L4,USF2,WDR62,ZNF566,ZNF566-AS1
1430	10	5	5	6	chr20:461930-1393318 (931kb)	.	CSNK2A1,ENSG00000274322,FAM110A,FKBP1A,SDCBP2-AS1,TBC1D20
1781	10	7	3	10	chr2:72886940-74741442 (1855kb)	.	BOLA3,BOLA3-DT,C2orf81,DGUOK,ENSG00000159239,SLC4A5,SPR,STAMBP,TPRKB,WDR54
2482	10	3	7	3	chr7:72906765-74068092 (1161kb)	.	SPDYE10,STX1A,TBL2
2734	10	3	7	4	chrX:47560867-49346561 (1786kb)	.	ARAF,ENSG00000232828,ENSG00000289890,PIM2
127	9	5	4	8	chr1:99682563-100896135 (1214kb)	.	AGL,DBT,ENSG00000288826,EXTL2,MFSD14A,RTCA,RTCA-AS1,SLC30A7
218	9	4	5	7	chr11:207353-832984 (626kb)	.	BET1L,CD151,ENSG00000255108,GATD1,GATD1-DT,PGGHG,RIC8A
455	9	4	5	4	chr12:122750018-124636598 (1887kb)	.	KMT5A,RILPL1,RILPL2,TCTN2
495	9	2	7	3	chr1:225517229-226951613 (1434kb)	.	COQ8A,ENAH,ENSG00000289602
505	9	5	4	5	chr1:22704322-24071195 (1367kb)	.	E2F2,ENSG00000289014,EPHB2,FUCA1,LYPLA2
