peak1	peak2	coaccess	qval	type1	type2	n_links
chr10:28987520-28987687	chr10:29409695-29409975	0.0503785	0.00213712	proximal	distal	8
chr10:29735414-29735827	chr10:29735904-29736314	0.0253685	0.612027	proximal	distal	4
chr10:30784205-30784376	chr10:31320465-31320836	0.273112	0	proximal	distal	4
chr10:31133757-31133948	chr10:31320465-31320836	0.0653415	4.85118e-06	proximal	distal	4
chr10:3172562-3173556	chr10:3197525-3197675	0.0248011	0.612027	proximal	distal	4
chr10:32016702-32016852	chr10:32347022-32347301	0.110007	0	proximal	distal	8
chr10:3239683-3239868	chr10:3785160-3785893	0.139303	0	proximal	distal	8
chr10:34667822-34668008	chr10:35336325-35336764	0.108212	0	proximal	distal	4
chr10:42782364-42783109	chr10:42961725-42962062	0.0265796	0.612027	proximal	distal	4
chr10:45594450-45595026	chr10:46414417-46414567	0.0330259	0.33813	proximal	distal	4
chr10:45971802-45972806	chr10:46309373-46309532	0.0225341	0.612027	proximal	distal	8
chr10:45991565-45991723	chr10:46030274-46030792	0.134392	0	proximal	distal	4
chr10:46598028-46598178	chr10:46876989-46877150	0.0852256	1.24834e-10	proximal	distal	8
chr10:47495875-47496025	chr10:47570525-47570724	0.0658477	3.83587e-06	proximal	distal	4
chr10:49022753-49022903	chr10:49988445-49988735	0.166746	0	proximal	distal	4
chr10:49761816-49762522	chr10:49892803-49892953	0.142018	0	proximal	distal	4
chr10:49761816-49762522	chr10:50397383-50397586	0.0526314	0.000946515	proximal	distal	4
chr10:49978704-49979001	chr10:50067557-50068030	0.0634938	1.12175e-05	proximal	distal	8
chr10:50464311-50464477	chr10:50624177-50625021	0.0701073	5.01056e-07	proximal	distal	4
chr10:55601837-55602350	chr10:56360938-56361539	0.0649092	5.91792e-06	proximal	distal	8
chr10:5684308-5684941	chr10:6163388-6163928	0.0222659	0.612027	proximal	distal	4
chr10:5812857-5813047	chr10:5813345-5813981	0.0341369	0.260992	proximal	distal	4
chr10:5812857-5813047	chr10:5889585-5890292	0.058226	0.000107161	proximal	distal	8
chr10:5853549-5853929	chr10:6201562-6202021	0.117316	0	proximal	distal	4
chr10:60518026-60518186	chr10:61001031-61001312	0.0286456	0.612027	proximal	distal	8
chr10:61001374-61001696	chr10:61903747-61903942	0.0553872	0.000332722	proximal	distal	8
chr10:61854699-61854849	chr10:62268537-62268981	0.0287347	0.612027	proximal	distal	4
chr10:6202637-6203006	chr10:6408753-6408903	0.086549	5.61167e-11	proximal	distal	4
chr10:63065922-63066267	chr10:63521102-63522208	0.042437	0.0281217	proximal	distal	8
chr10:63521102-63522208	chr10:63605735-63605895	0.0774164	1.11487e-08	proximal	distal	8
chr10:63521102-63522208	chr10:63654315-63654465	0.0460526	0.00922035	proximal	distal	8
chr10:67788485-67788776	chr10:68231080-68231910	0.070203	4.78753e-07	proximal	distal	4
chr10:68074566-68075503	chr10:68097123-68097479	0.0213131	0.612027	proximal	distal	4
chr10:68166368-68166518	chr10:68471598-68472074	0.218305	0	proximal	distal	4
chr10:68331823-68332524	chr10:68561486-68561663	0.0454605	0.0111163	proximal	distal	8
chr10:68331823-68332524	chr10:68923972-68924416	0.0372501	0.119617	proximal	distal	8
chr10:68332633-68332990	chr10:68891474-68891643	0.0747993	4.55912e-08	proximal	distal	4
chr10:68555058-68555327	chr10:68826752-68827610	0.194111	0	proximal	distal	4
chr10:68900775-68901762	chr10:69426896-69427438	0.0255693	0.612027	proximal	distal	4
chr10:68923972-68924416	chr10:69180142-69180381	0.0235731	0.612027	proximal	distal	4
chr10:68988514-68989585	chr10:69318032-69318527	0.0662701	3.14929e-06	proximal	distal	4
chr10:69352216-69352402	chr10:69630074-69630317	0.0851968	1.27042e-10	proximal	distal	4
chr10:69451261-69452030	chr10:69958396-69958546	0.119144	0	proximal	distal	4
chr10:69699135-69699285	chr10:70479578-70479767	0.0221224	0.612027	proximal	distal	4
chr10:69762112-69762308	chr10:70145693-70146092	0.0377123	0.105966	proximal	distal	4
chr10:70116303-70116501	chr10:70170437-70170836	0.0697468	5.98992e-07	proximal	distal	4
chr10:7012887-7013047	chr10:7666987-7667316	0.239291	0	proximal	distal	4
chr10:70170912-70171081	chr10:70558908-70559059	0.0264274	0.612027	proximal	distal	4
chr10:70382524-70382909	chr10:70603691-70603893	0.198683	0	proximal	distal	4
chr10:70887865-70888373	chr10:71384313-71384598	0.0947709	2.75551e-13	proximal	distal	4
chr10:70992909-70993069	chr10:71319032-71319295	0.0296116	0.612027	proximal	distal	4
chr10:71212388-71212735	chr10:71896906-71897165	0.125686	0	proximal	distal	4
chr10:71319032-71319295	chr10:71871445-71871595	0.139179	0	proximal	distal	4
chr10:71376904-71377054	chr10:71888985-71889509	0.0521589	0.00112582	proximal	distal	4
chr10:71592585-71592795	chr10:72216297-72216447	0.534107	0	proximal	distal	8
chr10:72215903-72216173	chr10:72337166-72337326	0.0240722	0.612027	proximal	distal	4
chr10:72272870-72273393	chr10:72340550-72340757	0.0221359	0.612027	proximal	distal	8
chr10:72679088-72679238	chr10:73247148-73247418	0.0940439	4.70679e-13	proximal	distal	12
chr10:73022177-73022327	chr10:73781916-73782361	0.0587436	8.6696e-05	proximal	distal	8
chr10:73136243-73136411	chr10:73358385-73358594	0.0232141	0.612027	proximal	distal	4
chr10:73495523-73496203	chr10:73940707-73940925	0.0415088	0.0369545	proximal	distal	8
chr10:73495523-73496203	chr10:73966644-73966817	0.0357154	0.177413	proximal	distal	8
chr10:73625227-73625594	chr10:74073378-74073550	0.0376918	0.10654	proximal	distal	8
chr10:73625227-73625594	chr10:74418317-74418557	0.232303	0	proximal	distal	8
chr10:73625750-73626228	chr10:74302324-74302474	0.0254088	0.612027	proximal	distal	8
chr10:73810979-73812120	chr10:73966079-73966487	0.0235123	0.612027	proximal	distal	8
chr10:74753382-74753532	chr10:75401891-75402041	0.0778208	8.91876e-09	proximal	distal	12
chr10:75099811-75100209	chr10:75493378-75493528	0.054053	0.000555741	proximal	distal	4
chr10:75461786-75461949	chr10:75592117-75592356	0.115736	0	proximal	distal	4
chr10:75592117-75592356	chr10:76251928-76252538	0.0448421	0.0135023	proximal	distal	4
chr10:78552341-78552491	chr10:78852985-78853142	0.124705	0	proximal	distal	4
chr10:78552341-78552491	chr10:79374654-79374912	0.041389	0.0382766	proximal	distal	4
chr10:78973510-78974137	chr10:79347293-79347597	0.233874	0	proximal	distal	4
chr10:79242740-79242923	chr10:79904699-79905221	0.138332	0	proximal	distal	4
chr10:79490559-79490768	chr10:79904699-79905221	0.130931	0	proximal	distal	4
chr10:86128613-86128807	chr10:86521514-86522201	0.0373972	0.115117	proximal	distal	8
chr10:86366489-86366639	chr10:86387556-86387782	0.233074	0	proximal	distal	4
chr10:86366750-86366961	chr10:86711211-86711738	0.0754643	3.20043e-08	proximal	distal	4
chr10:86387556-86387782	chr10:86755958-86756766	0.0291878	0.612027	proximal	distal	8
chr10:86823610-86823884	chr10:87204268-87204459	0.0657505	4.01243e-06	proximal	distal	4
chr10:86939345-86939767	chr10:87203532-87204075	0.0572402	0.000159524	proximal	distal	4
chr10:86966625-86966798	chr10:87203532-87204075	0.081124	1.39595e-09	proximal	distal	4
chr10:87085143-87085293	chr10:87504653-87504995	0.0522842	0.00107499	proximal	distal	8
chr10:87808831-87808981	chr10:87863112-87863771	0.283321	0	proximal	distal	12
chr10:87817787-87818444	chr10:88114439-88114669	0.0353544	0.194177	proximal	distal	4
chr10:87862302-87862917	chr10:88114439-88114669	0.0245543	0.612027	proximal	distal	12
chr10:88528531-88528902	chr10:88880125-88880506	0.0316823	0.457973	proximal	distal	4
chr10:91162878-91163358	chr10:91287166-91287316	0.0405718	0.0484058	proximal	distal	4
chr10:91162878-91163358	chr10:91564993-91565143	0.0371741	0.122029	proximal	distal	4
chr10:91635478-91635703	chr10:91923366-91923567	0.122141	0	proximal	distal	4
chr10:91796378-91796645	chr10:91798208-91798816	0.141736	0	proximal	distal	8
chr10:92689530-92689918	chr10:93110129-93110301	0.0716045	2.37288e-07	proximal	distal	4
chr10:93160513-93160663	chr10:93496056-93496866	0.107311	0	proximal	distal	4
chr10:93861205-93861370	chr10:94402195-94402953	0.166351	0	proximal	distal	4
chr10:94103911-94104092	chr10:94402195-94402953	0.0509453	0.00174629	proximal	distal	4
chr10:94402195-94402953	chr10:94634847-94635160	0.0716908	2.27284e-07	proximal	distal	4
chr10:95422508-95422658	chr10:95561246-95561643	0.0302008	0.612027	proximal	distal	4
chr10:96062084-96062234	chr10:96586796-96587554	0.0459072	0.00965083	proximal	distal	4
chr10:96089605-96090441	chr10:96162107-96162257	0.0549687	0.00039134	proximal	distal	4
chr10:96375375-96375626	chr10:96832762-96833094	0.0340508	0.266325	proximal	distal	4
chr10:96831941-96832704	chr10:97383485-97383673	0.035835	0.172179	proximal	distal	4
chr10:96903317-96903494	chr10:97292230-97292965	0.100617	0	proximal	distal	8
chr10:97072932-97073121	chr10:97318880-97319405	0.173701	0	proximal	distal	4
chr10:97263358-97263511	chr10:97446396-97446565	0.031947	0.432014	proximal	distal	8
chr10:97334931-97335169	chr10:97791354-97791807	0.0446148	0.0144803	proximal	distal	8
chr10:97425882-97426376	chr10:97534829-97535032	0.0281089	0.612027	proximal	distal	8
chr10:97425882-97426376	chr10:97714352-97714754	0.0447262	0.0139891	proximal	distal	8
chr10:97425882-97426376	chr10:97823302-97823707	0.0352737	0.198133	proximal	distal	8
chr10:97445743-97446309	chr10:97676828-97676978	0.0224325	0.612027	proximal	distal	8
chr10:97633411-97633948	chr10:98011415-98011594	0.120836	0	proximal	distal	4
chr10:99392797-99392980	chr10:99620240-99621731	0.027746	0.612027	proximal	distal	4
chr10:99392797-99392980	chr10:99659269-99659858	0.0980867	2.61359e-14	proximal	distal	8
chr10:99620240-99621731	chr10:99914048-99914261	0.0253563	0.612027	proximal	distal	4
chr1:1000090-1000331	chr1:1666367-1666517	0.0232014	0.612027	proximal	distal	8
chr1:100024442-100024765	chr1:100266686-100266836	0.0498185	0.00260362	proximal	distal	8
chr1:100037975-100038587	chr1:100352152-100352679	0.0328065	0.355317	proximal	distal	8
chr1:100037975-100038587	chr1:100459370-100459819	0.334138	0	proximal	distal	8
chr1:1000702-1000975	chr1:1183020-1183170	0.0723788	1.60487e-07	proximal	distal	8
chr1:1000702-1000975	chr1:1291970-1292120	0.0235602	0.612027	proximal	distal	8
chr1:100132630-100133479	chr1:99944520-99944770	0.0231232	0.612027	proximal	distal	8
chr1:100166906-100167065	chr1:99969662-99970294	0.0412244	0.0401548	proximal	distal	12
chr1:100249190-100249671	chr1:100351117-100351718	0.0476825	0.00540538	proximal	distal	4
chr1:100249734-100250124	chr1:100352152-100352679	0.0312068	0.509479	proximal	distal	4
chr1:100266031-100266489	chr1:100351117-100351718	0.0300977	0.612027	proximal	distal	8
chr1:100266031-100266489	chr1:100459370-100459819	0.0633103	1.21772e-05	proximal	distal	8
chr1:10032451-10033225	chr1:10219755-10220244	0.0631529	1.30582e-05	proximal	distal	4
chr1:10032451-10033225	chr1:10961103-10961264	0.0420297	0.0317533	proximal	distal	4
chr1:10034985-10035279	chr1:9588457-9588865	0.0765831	1.75641e-08	proximal	distal	4
chr1:100352152-100352679	chr1:99970354-99970537	0.07391	7.27255e-08	proximal	distal	8
chr1:100459370-100459819	chr1:100895730-100896135	0.0985686	2.61359e-14	proximal	distal	8
chr1:100613899-100614062	chr1:100895730-100896135	0.0353999	0.191977	proximal	distal	8
chr1:100977726-100978004	chr1:101025735-101026393	0.0720788	1.86764e-07	proximal	distal	8
chr1:1014933-1015115	chr1:1307835-1308137	0.0701803	4.83685e-07	proximal	distal	4
chr1:10209823-10210635	chr1:10494728-10495007	0.448228	0	proximal	distal	4
chr1:1040812-1041100	chr1:1574533-1575098	0.0308383	0.552323	proximal	distal	8
chr1:1040812-1041100	chr1:904649-904922	0.294531	0	proximal	distal	4
chr1:10474816-10475209	chr1:9539134-9539773	0.358184	0	proximal	distal	4
chr1:10556482-10556632	chr1:11099319-11099509	0.0226223	0.612027	proximal	distal	8
chr1:1058308-1058468	chr1:1407131-1407468	0.0558779	0.000275109	proximal	distal	4
chr1:1058308-1058468	chr1:1615689-1615888	0.0409149	0.0438836	proximal	distal	8
chr1:1059530-1059727	chr1:976148-976326	0.0226809	0.612027	proximal	distal	4
chr1:1063805-1064095	chr1:1827135-1827285	0.0369008	0.131032	proximal	distal	4
chr1:1063805-1064095	chr1:1909661-1909838	0.131688	0	proximal	distal	4
chr1:1063805-1064095	chr1:976148-976326	0.0604983	4.15792e-05	proximal	distal	4
chr1:108000579-108000729	chr1:108559806-108560118	0.051935	0.00122169	proximal	distal	4
chr1:1080203-1080390	chr1:1273749-1274279	0.0228487	0.612027	proximal	distal	4
chr1:1080203-1080390	chr1:1511679-1512207	0.044973	0.0129595	proximal	distal	4
chr1:10866882-10867032	chr1:11059750-11060456	0.181713	0	proximal	distal	4
chr1:108691948-108693094	chr1:108714689-108714994	0.0297702	0.612027	proximal	distal	8
chr1:108816442-108816735	chr1:109426027-109426960	0.242031	0	proximal	distal	4
chr1:108876532-108877556	chr1:109041853-109042497	0.0950497	2.26511e-13	proximal	distal	4
chr1:109041853-109042497	chr1:109792142-109792384	0.0622565	1.94159e-05	proximal	distal	4
chr1:109089270-109089581	chr1:109213699-109214513	0.0328313	0.353434	proximal	distal	4
chr1:109090408-109091045	chr1:109716997-109717171	0.14336	0	proximal	distal	8
chr1:109149419-109149615	chr1:109509328-109510011	0.0320167	0.425264	proximal	distal	4
chr1:109213699-109214513	chr1:109357614-109357840	0.0264913	0.612027	proximal	distal	4
chr1:109213699-109214513	chr1:109792142-109792384	0.0505967	0.00197793	proximal	distal	4
chr1:109263663-109263912	chr1:109397889-109398338	0.0458718	0.00975676	proximal	distal	4
chr1:109277469-109277631	chr1:109509328-109510011	0.0849771	1.45051e-10	proximal	distal	4
chr1:109277469-109277631	chr1:109910570-109911175	0.0585208	9.49302e-05	proximal	distal	4
chr1:109357614-109357840	chr1:109483697-109484305	0.0765229	1.81489e-08	proximal	distal	4
chr1:10942081-10942234	chr1:11059750-11060456	0.0286307	0.612027	proximal	distal	4
