peak	types	genes	states	n_edges
chr10:102743582-102744180	proximal	WBP1L	.	4
chr10:102753014-102753410	distal	.	.	6
chr10:102776002-102776173	distal	.	.	6
chr10:102835006-102835417	distal	.	.	4
chr10:102854150-102854742	proximal	BORCS7,BORCS7-ASMT,ENSG00000282772	.	18
chr10:102869357-102869524	proximal	AS3MT	.	10
chr10:102869588-102869817	proximal	AS3MT	.	4
chr10:102917574-102917725	proximal	CNNM2,ENSG00000286575	.	20
chr10:102917838-102918615	proximal	CNNM2,ENSG00000286575	.	4
chr10:102998278-102998499	distal	.	.	4
chr10:103053939-103054126	distal	.	.	2
chr10:103101825-103101975	distal	.	.	4
chr10:103192767-103193451	distal	.	.	10
chr10:103241462-103241629	distal	.	.	2
chr10:103350576-103350726	proximal	PCGF6	.	4
chr10:103350843-103351298	proximal	PCGF6	.	16
chr10:103367732-103368041	proximal	TAF5	.	8
chr10:103376878-103377364	distal	.	.	2
chr10:103389580-103390115	distal	.	.	6
chr10:103564905-103565116	distal	.	.	2
chr10:103605572-103605722	distal	.	.	4
chr10:103661404-103662081	distal	.	.	4
chr10:103766257-103766445	distal	.	.	2
chr10:103789553-103789703	distal	.	.	2
chr10:103829712-103829862	distal	.	.	2
chr10:103872159-103872487	distal	.	.	2
chr10:103884741-103884955	distal	.	.	2
chr10:103888162-103888312	distal	.	.	2
chr10:103908323-103908556	distal	.	.	6
chr10:103917748-103917916	proximal	STN1	.	8
chr10:103918080-103918702	proximal	STN1	.	4
chr10:104071306-104071488	distal	.	.	6
chr10:104338081-104338495	proximal	ITPRIP	.	4
chr10:104353503-104353884	proximal	CFAP58,CFAP58-DT	.	4
chr10:109852553-109852783	distal	.	.	4
chr10:109884234-109884658	distal	.	.	4
chr10:109923332-109923644	proximal	XPNPEP1	.	4
chr10:110007370-110008492	proximal	ADD3-AS1	.	10
chr10:11018281-11018634	distal	.	.	2
chr10:110226097-110227544	distal	.	.	4
chr10:110304871-110305428	proximal	SMNDC1	.	4
chr10:110318233-110318383	distal	.	.	4
chr10:110497690-110498128	proximal	DUSP5	.	8
chr10:110512928-110513084	distal	.	.	4
chr10:110567239-110567749	proximal	SMC3	.	4
chr10:110567835-110568027	proximal	SMC3	.	10
chr10:110644129-110644594	proximal	RBM20	.	8
chr10:110672208-110672631	distal	.	.	4
chr10:110701662-110702077	distal	.	.	4
chr10:110752158-110752308	distal	.	.	8
chr10:110918514-110918859	proximal	BBIP1,SHOC2	.	8
chr10:110919061-110919872	proximal	BBIP1,SHOC2	.	8
chr10:111143047-111143240	distal	.	.	4
chr10:111375345-111375495	distal	.	.	4
chr10:113227707-113227909	distal	.	.	2
chr10:113427241-113427391	distal	.	.	2
chr10:113429825-113429988	distal	.	.	4
chr10:113538311-113538461	distal	.	.	16
chr10:113563485-113563770	distal	.	.	2
chr10:113678878-113679443	proximal	CASP7	.	6
chr10:113679668-113680046	proximal	CASP7	.	10
chr10:113680124-113680400	distal	.	.	4
chr10:113707878-113708028	distal	.	.	2
chr10:113854306-113854678	proximal	DCLRE1A,NHLRC2	.	16
chr10:113854792-113855293	proximal	DCLRE1A,NHLRC2	.	16
chr10:113873615-113873765	distal	.	.	2
chr10:113874411-113874563	distal	.	.	2
chr10:114055063-114055215	distal	.	.	4
chr10:114174100-114174671	proximal	CCDC186	.	4
chr10:114208007-114208248	distal	.	.	2
chr10:114340214-114340368	distal	.	.	4
chr10:114499695-114499909	distal	.	.	2
chr10:114755014-114755164	distal	.	.	8
chr10:114768199-114768459	proximal	ABLIM1	.	4
chr10:114822362-114822544	proximal	FHIP2A	.	4
chr10:114938150-114938494	proximal	TRUB1	.	4
chr10:115056317-115056581	distal	.	.	4
chr10:115093225-115093719	proximal	ATRNL1	.	4
chr10:115990508-115990669	distal	.	.	4
chr10:116045808-116046075	distal	.	.	2
chr10:11611325-11611885	proximal	USP6NL,USP6NL-AS1	.	8
chr10:116272743-116273038	distal	.	.	8
chr10:116610034-116610269	distal	.	.	2
chr10:116849698-116849931	proximal	ENO4,HSPA12A	.	8
chr10:117004593-117005332	proximal	ENSG00000287655	.	4
chr10:117137011-117137256	distal	.	.	6
chr10:117137601-117137757	proximal	VAX1	.	4
chr10:117185716-117185866	distal	.	.	2
chr10:117216743-117216911	distal	.	.	4
chr10:117542222-117542405	proximal	EMX2	.	4
chr10:117614222-117614372	distal	.	.	2
chr10:117705184-117705509	distal	.	.	2
chr10:117728326-117728476	distal	.	.	4
chr10:117860956-117861106	distal	.	.	2
chr10:117987299-117987449	distal	.	.	2
chr10:118241679-118241836	proximal	LINC02944	.	4
chr10:118341793-118342131	proximal	FAM204A,LINC00867	.	8
chr10:118342222-118342436	proximal	FAM204A,LINC00867	.	4
chr10:118501561-118501736	distal	.	.	8
chr10:118754161-118754311	distal	.	.	8
chr10:118818399-118818549	distal	.	.	2
chr10:118888870-118889020	distal	.	.	16
chr10:118992065-118992306	distal	.	.	2
chr10:119011405-119011592	distal	.	.	4
chr10:119022871-119023038	distal	.	.	2
chr10:119029320-119029758	proximal	LINC03036,NANOS1	.	24
chr10:119080571-119081237	proximal	EIF3A,ENSG00000289126	.	8
chr10:119081303-119081457	proximal	EIF3A,ENSG00000289126	.	12
chr10:119103827-119104410	proximal	DENND10	.	12
chr10:119139586-119139736	distal	.	.	6
chr10:119165202-119165828	proximal	SFXN4	.	6
chr10:119178424-119178621	proximal	PRDX3	.	2
chr10:119178719-119178975	proximal	PRDX3	.	16
chr10:119207370-119207691	proximal	GRK5,GRK5-IT1	.	8
chr10:119209543-119209699	distal	.	.	10
chr10:119410969-119411180	distal	.	.	4
chr10:11944292-11944442	distal	.	.	2
chr10:119487661-119487811	distal	.	.	8
chr10:119489628-119489959	distal	.	.	12
chr10:119542442-119542905	proximal	RGS10	.	4
chr10:119596550-119597524	proximal	TIAL1	.	2
chr10:119602611-119602761	distal	.	.	8
chr10:119608405-119608864	distal	.	.	4
chr10:119650855-119651486	proximal	BAG3	.	2
chr10:119872676-119873193	distal	.	.	2
chr10:119873414-119873606	distal	.	.	4
chr10:119892460-119892814	proximal	MCMBP,SEC23IP	.	8
chr10:119907870-119908096	distal	.	.	12
chr10:12042741-12043489	proximal	UPF2	.	4
chr10:12053677-12054105	distal	.	.	4
chr10:12068397-12069313	proximal	DHTKD1	.	4
chr10:120970819-120970969	distal	.	.	2
chr10:120978831-120979000	distal	.	.	2
chr10:120979451-120980032	proximal	ENSG00000227307	.	4
chr10:121112808-121113019	distal	.	.	2
chr10:121310174-121310747	distal	.	.	2
chr10:121377766-121377916	distal	.	.	4
chr10:121814024-121814218	distal	.	.	4
chr10:12186650-12186836	distal	.	.	8
chr10:121956715-121956921	proximal	ENSG00000276742	.	4
chr10:121974336-121974566	proximal	NSMCE4A	.	4
chr10:122077782-122078136	distal	.	.	2
chr10:122112775-122113080	distal	.	.	4
chr10:122142737-122143065	distal	.	.	4
chr10:122250185-122250335	distal	.	.	2
chr10:122298847-122299047	distal	.	.	4
chr10:122374393-122374879	proximal	PLEKHA1	.	12
chr10:122879510-122880120	proximal	ENSG00000286088,FAM24B	.	16
chr10:122953782-122954516	proximal	C10orf88,PSTK	.	16
chr10:122980226-122980851	distal	.	.	4
chr10:123133014-123133379	distal	.	.	4
chr10:123153960-123154545	proximal	BUB3	.	4
chr10:123154632-123154927	proximal	BUB3	.	4
chr10:123155055-123155205	proximal	BUB3	.	8
chr10:123393201-123393367	distal	.	.	8
chr10:123994447-123994619	distal	.	.	4
chr10:124388935-124389166	distal	.	.	4
chr10:124389262-124389412	distal	.	.	4
chr10:124450172-124450476	proximal	NKX1-2	.	4
chr10:124461523-124462366	proximal	LHPP	.	8
chr10:124530264-124530414	distal	.	.	8
chr10:124565518-124565668	distal	.	.	4
chr10:124655761-124655994	distal	.	.	10
chr10:124693925-124694180	distal	.	.	10
chr10:124791605-124792246	proximal	EEF1AKMT2,ENSG00000258539	.	20
chr10:124833055-124833328	distal	.	.	4
chr10:124916450-124916995	proximal	ENSG00000249456,ENSG00000289280	.	32
chr10:124952189-124952354	distal	.	.	10
chr10:124970666-124970872	distal	.	.	10
chr10:125209095-125209302	distal	.	.	8
chr10:12556244-12556394	distal	.	.	2
chr10:125661918-125662482	distal	.	.	8
chr10:125896419-125896569	proximal	DHX32,FANK1	.	8
chr10:126250063-126250305	distal	.	.	2
chr10:126325146-126325364	distal	.	.	2
chr10:126947963-126948215	distal	.	.	2
chr10:127156645-127156898	distal	.	.	2
chr10:12720444-12720595	distal	.	.	4
chr10:129963499-129963924	distal	.	.	4
chr10:129971688-129971911	distal	.	.	4
chr10:1300274-1300491	distal	.	.	4
chr10:130110456-130110984	proximal	C10orf143	.	4
chr10:130111094-130111395	proximal	C10orf143	.	6
chr10:130111473-130111659	proximal	C10orf143	.	2
chr10:13099949-13100171	proximal	CCDC3,ENSG00000289266,OPTN	.	12
chr10:13161184-13161643	proximal	MCM10	.	4
chr10:13161704-13161896	proximal	MCM10	.	4
chr10:131823689-131823863	distal	.	.	2
chr10:131900493-131901090	proximal	PPP2R2D	.	6
chr10:131901721-131901896	proximal	PPP2R2D	.	2
chr10:131981419-131981569	proximal	BNIP3	.	4
chr10:132142516-132142728	distal	.	.	12
chr10:132307865-132308705	distal	.	.	2
chr10:132331567-132332078	proximal	LRRC27,STK32C	.	24
chr10:132430193-132430343	distal	.	.	4
chr10:132458555-132458774	distal	.	.	4
chr10:132517087-132517363	distal	.	.	10
chr10:132592953-132593147	distal	.	.	2
chr10:132654753-132654903	distal	.	.	8
chr10:132755328-132755485	distal	.	.	2
chr10:132931267-132931417	distal	.	.	2
chr10:13299777-13300227	distal	.	.	2
chr10:13302127-13302586	proximal	PHYH	.	8
chr10:133111694-133111962	distal	.	.	6
chr10:133127559-133128117	distal	.	.	8
chr10:133261924-133262217	distal	.	.	2
chr10:133309100-133309380	proximal	ZNF511,ZNF511-PRAP1	.	8
chr10:133324434-133324837	distal	.	.	12
chr10:133329759-133330067	distal	.	.	2
chr10:133340059-133340276	distal	.	.	2
chr10:133357597-133358388	proximal	FUOM	.	4
chr10:133378315-133378571	proximal	PAOX	.	4
chr10:13347732-13348031	proximal	ENSG00000289585,SEPHS1	.	28
chr10:133520202-133520600	proximal	CYP2E1	.	4
chr10:133648936-133649222	distal	.	.	2
chr10:133660636-133660836	distal	.	.	4
chr10:133689258-133689594	distal	.	.	2
chr10:13440221-13440470	distal	.	.	12
chr10:13528931-13529451	proximal	BEND7,BEND7-DT	.	8
chr10:135290-135492	distal	.	.	2
chr10:13788023-13788250	distal	.	.	12
chr10:14134457-14134607	distal	.	.	2
chr10:14643381-14643531	distal	.	.	2
chr10:14777488-14777638	distal	.	.	8
chr10:14877871-14879148	proximal	SUV39H2,SUV39H2-DT	.	12
chr10:14945748-14945964	distal	.	.	6
chr10:15024528-15024826	distal	.	.	2
chr10:15088705-15088912	proximal	ACBD7	.	4
chr10:15097511-15097697	proximal	RPP38,RPP38-DT	.	8
chr10:15168456-15169181	proximal	NMT2	.	12
chr10:15431569-15431772	distal	.	.	4
chr10:15585304-15585546	distal	.	.	6
chr10:15605129-15605301	distal	.	.	6
chr10:15719640-15720171	proximal	ITGA8	.	2
chr10:1577488-1577756	distal	.	.	2
chr10:15850457-15850910	distal	.	.	8
chr10:15859863-15860664	proximal	MINDY3	.	4
chr10:16436754-16437396	proximal	PTER	.	2
chr10:16952902-16953117	distal	.	.	4
chr10:17137440-17137616	proximal	ENSG00000273153	.	2
chr10:17201335-17201948	proximal	TRDMT1	.	4
chr10:17228429-17229353	proximal	VIM	.	2
chr10:21327334-21327653	distal	.	.	2
chr10:21496064-21496413	distal	.	.	4
chr10:21516175-21516339	distal	.	.	8
chr10:21525480-21526698	proximal	ENSG00000286881,SKIDA1	.	16
chr10:21527184-21527589	proximal	ENSG00000286881	.	4
chr10:21593572-21593722	distal	.	.	2
chr10:21724848-21725088	distal	.	.	2
chr10:21834414-21834960	distal	.	.	2
chr10:22155251-22155492	distal	.	.	4
chr10:22229036-22229644	distal	.	.	2
chr10:22340333-22340638	proximal	ENSG00000272366	.	4
chr10:22379331-22379642	distal	.	.	4
chr10:22379803-22379998	distal	.	.	4
chr10:22468997-22469208	distal	.	.	8
chr10:22553309-22553493	distal	.	.	6
chr10:22605221-22605439	distal	.	.	2
chr10:22714151-22714808	proximal	PIP4K2A	.	4
chr10:23068232-23068448	distal	.	.	2
chr10:23408489-23408689	distal	.	.	8
chr10:23438827-23439246	proximal	ENSG00000287124,OTUD1	.	8
chr10:24221588-24221749	distal	.	.	4
chr10:24724589-24725072	proximal	ARHGAP21	.	6
chr10:25174525-25175160	proximal	GPR158	.	2
chr10:25934684-25935135	proximal	MYO3A	.	4
chr10:26173046-26173230	distal	.	.	4
chr10:26566925-26567294	distal	.	.	2
chr10:26622953-26623130	distal	.	.	4
chr10:26697541-26697789	proximal	PDSS1	.	4
chr10:26839220-26839459	distal	.	.	2
chr10:26870579-26870729	distal	.	.	2
chr10:27201049-27201203	distal	.	.	2
chr10:28432280-28432646	distal	.	.	2
chr10:28668356-28668547	distal	.	.	2
chr10:28678400-28678550	proximal	BAMBI	.	4
chr10:28823012-28823338	distal	.	.	4
chr10:28987520-28987687	distal	.	.	12
chr10:29409695-29409975	proximal	ENSG00000287402,SVIL-AS1	.	8
chr10:29449133-29449283	distal	.	.	4
chr10:29496447-29496597	distal	.	.	4
chr10:29735414-29735827	distal	.	.	4
chr10:29735904-29736314	proximal	SVIL	.	4
chr10:30168258-30168408	distal	.	.	2
chr10:30784205-30784376	distal	.	.	4
chr10:30785121-30785449	distal	.	.	2
chr10:31032271-31032754	proximal	ENSG00000287564,ZNF438	.	4
chr10:31133757-31133948	distal	.	.	4
chr10:31320465-31320836	proximal	ZEB1-AS1	.	12
chr10:31603237-31604026	proximal	ENSG00000223834	.	2
chr10:3172562-3173556	proximal	PITRM1	.	4
chr10:31759572-31760449	proximal	ENSG00000289412	.	2
chr10:3197525-3197675	distal	.	.	4
chr10:32016702-32016852	distal	.	.	8
chr10:32347022-32347301	proximal	ENSG00000233825,EPC1-AS1	.	8
chr10:3239683-3239868	distal	.	.	8
chr10:34667822-34668008	distal	.	.	4
chr10:35336325-35336764	proximal	CCNY-AS1	.	6
chr10:35640665-35640834	proximal	ENSG00000287528	.	2
chr10:3785160-3785893	proximal	ENSG00000288755,KLF6	.	8
chr10:37857306-37857874	proximal	ENSG00000236514,ZNF248	.	8
chr10:37976166-37976402	proximal	ZNF25,ZNF25-DT	.	8
chr10:42090636-42090964	distal	.	.	2
chr10:42551537-42551687	distal	.	.	4
chr10:42578690-42578840	distal	.	.	2
chr10:42782364-42783109	proximal	BMS1	.	4
chr10:42866795-42866998	distal	.	.	6
chr10:42961725-42962062	distal	.	.	4
chr10:43105573-43105817	distal	.	.	4
chr10:43436259-43436903	proximal	ZNF487	.	2
chr10:43436983-43437367	proximal	ZNF487	.	2
chr10:43455538-43455993	distal	.	.	2
chr10:44233705-44233859	distal	.	.	2
chr10:44974970-44975172	distal	.	.	2
chr10:455722-455969	distal	.	.	4
chr10:45594450-45595026	proximal	MARCHF8	.	4
chr10:45971802-45972806	proximal	ENSG00000290921,TIMM23	.	8
chr10:45991565-45991723	distal	.	.	4
chr10:46030274-46030792	proximal	NCOA4	.	4
chr10:46106444-46107047	distal	.	.	2
chr10:46309373-46309532	distal	.	.	10
chr10:46414417-46414567	distal	.	.	4
chr10:46598028-46598178	proximal	ENSG00000229227,SYT15-AS1	.	8
chr10:46841151-46841404	distal	.	.	4
chr10:46845048-46845198	distal	.	.	4
chr10:46876989-46877150	distal	.	.	8
chr10:47312182-47312402	distal	.	.	2
chr10:47340623-47340773	distal	.	.	2
chr10:47371638-47371788	distal	.	.	2
chr10:47495875-47496025	proximal	ENSG00000224919	.	4
chr10:47570525-47570724	distal	.	.	4
chr10:47743605-47744154	distal	.	.	2
chr10:48289775-48289941	distal	.	.	2
chr10:48430978-48431128	distal	.	.	2
chr10:49022753-49022903	distal	.	.	4
chr10:49538955-49539292	proximal	ERCC6	.	6
chr10:49761816-49762522	proximal	OGDHL	.	14
chr10:49892803-49892953	distal	.	.	4
chr10:49941804-49942141	proximal	TIMM23B,TIMM23B-AGAP6	.	8
chr10:49978704-49979001	distal	.	.	8
chr10:49988445-49988735	proximal	ENSG00000285803	.	4
chr10:50067557-50068030	proximal	FAM21EP,WASHC2A	.	8
chr10:50397383-50397586	distal	.	.	4
chr10:50464311-50464477	distal	.	.	4
chr10:50624177-50625021	proximal	SGMS1	.	4
chr10:53090911-53091072	distal	.	.	2
chr10:53141774-53141924	distal	.	.	2
chr10:548415-548565	distal	.	.	2
chr10:5548876-5549148	distal	.	.	2
chr10:55516239-55516389	distal	.	.	2
chr10:55548136-55548286	distal	.	.	2
chr10:55601837-55602350	distal	.	.	8
chr10:56360938-56361539	proximal	ENSG00000287016,ZWINT	.	8
chr10:5684308-5684941	proximal	TASOR2	.	4
chr10:5692708-5693283	distal	.	.	2
chr10:5812857-5813047	distal	.	.	12
chr10:5813345-5813981	proximal	ENSG00000272764	.	8
chr10:5853549-5853929	distal	.	.	6
chr10:5889585-5890292	proximal	ANKRD16,FBH1	.	12
chr10:60518026-60518186	distal	.	.	8
chr10:6077808-6077972	distal	.	.	2
chr10:6088662-6089141	proximal	RBM17	.	4
chr10:61001031-61001312	proximal	LINC00845,RHOBTB1	.	8
chr10:61001374-61001696	proximal	LINC00845,RHOBTB1	.	8
chr10:6103093-6103293	distal	.	.	2
chr10:6163388-6163928	distal	.	.	4
chr10:6163992-6164345	distal	.	.	2
chr10:61854699-61854849	distal	.	.	4
chr10:61903747-61903942	distal	.	.	8
chr10:6194908-6195058	distal	.	.	2
chr10:6201562-6202021	proximal	ENSG00000213994	.	4
chr10:6202637-6203006	proximal	ENSG00000213994	.	4
chr10:62268537-62268981	proximal	RTKN2	.	4
chr10:624636-624799	distal	.	.	2
chr10:63065922-63066267	distal	.	.	8
chr10:63268822-63269411	distal	.	.	2
chr10:63521102-63522208	proximal	JMJD1C,REEP3	.	24
chr10:63544743-63544893	distal	.	.	2
chr10:63605735-63605895	distal	.	.	8
chr10:63654315-63654465	distal	.	.	8
chr10:6401610-6402078	distal	.	.	2
chr10:6408753-6408903	distal	.	.	4
chr10:6579969-6580930	proximal	PRKCQ,PRKCQ-AS1	.	4
chr10:67788485-67788776	distal	.	.	6
chr10:678464-678618	distal	.	.	2
chr10:67849359-67849901	proximal	ENSG00000272892	.	2
chr10:67855644-67855835	distal	.	.	2
chr10:68055886-68056047	distal	.	.	2
chr10:68074566-68075503	proximal	HERC4	.	6
chr10:68097123-68097479	distal	.	.	4
chr10:68166368-68166518	distal	.	.	4
chr10:68231080-68231910	proximal	ATOH7	.	4
chr10:68241647-68241900	proximal	LINC02640	.	2
chr10:68331522-68331756	proximal	HNRNPH3	.	6
chr10:68331823-68332524	proximal	HNRNPH3,PBLD	.	24
chr10:68332633-68332990	proximal	PBLD	.	4
chr10:68416941-68417091	distal	.	.	2
chr10:68471598-68472074	proximal	DNA2	.	4
chr10:68527332-68528097	proximal	SLC25A16	.	4
chr10:68555058-68555327	distal	.	.	8
chr10:68561486-68561663	distal	.	.	10
chr10:68720887-68721545	proximal	CCAR1	.	2
chr10:68759009-68759209	distal	.	.	2
chr10:68826752-68827610	proximal	STOX1	.	4
chr10:68840799-68840957	distal	.	.	2
chr10:68891474-68891643	distal	.	.	4
chr10:68900775-68901762	proximal	DDX50	.	10
chr10:68923972-68924416	distal	.	.	16
chr10:68955779-68955929	proximal	DDX21	.	2
chr10:68988514-68989585	proximal	KIFBP	.	4
chr10:69063364-69063514	distal	.	.	2
chr10:69179635-69180007	proximal	SUPV3L1	.	2
chr10:69180142-69180381	proximal	SUPV3L1	.	4
chr10:69318032-69318527	distal	.	.	6
chr10:69352216-69352402	distal	.	.	4
chr10:69426896-69427438	distal	.	.	6
chr10:69451261-69452030	proximal	TSPAN15	.	4
chr10:69507218-69507531	distal	.	.	2
chr10:69630074-69630317	proximal	FAM241B	.	4
chr10:69699135-69699285	distal	.	.	4
chr10:69743306-69743470	distal	.	.	2
chr10:69762112-69762308	distal	.	.	4
chr10:69958396-69958546	distal	.	.	4
chr10:70116303-70116501	distal	.	.	4
chr10:7012887-7013047	distal	.	.	4
chr10:70132151-70132337	proximal	AIFM2	.	2
chr10:70132741-70133075	proximal	AIFM2	.	2
chr10:70145693-70146092	proximal	TYSND1	.	8
chr10:70146604-70147156	proximal	TYSND1	.	6
chr10:70170437-70170836	proximal	SAR1A	.	4
chr10:70170912-70171081	proximal	SAR1A	.	6
chr10:70215926-70216076	distal	.	.	2
chr10:70382524-70382909	proximal	LRRC20	.	8
chr10:70403973-70404674	proximal	EIF4EBP2	.	2
chr10:70405049-70405199	proximal	EIF4EBP2	.	2
chr10:70469303-70469453	distal	.	.	2
chr10:70478588-70478945	proximal	PALD1	.	4
chr10:70479578-70479767	proximal	PALD1	.	4
chr10:70558908-70559059	distal	.	.	4
chr10:70583282-70583446	distal	.	.	2
chr10:70603691-70603893	distal	.	.	4
chr10:70843418-70843568	distal	.	.	2
chr10:70887865-70888373	proximal	PCBD1	.	6
chr10:70888481-70888734	proximal	PCBD1	.	2
chr10:70925803-70925980	distal	.	.	2
chr10:70992909-70993069	distal	.	.	4
chr10:712090-712240	distal	.	.	2
chr10:71212388-71212735	proximal	UNC5B	.	4
chr10:71236135-71236595	distal	.	.	2
chr10:71319032-71319295	proximal	SLC29A3	.	8
chr10:71376904-71377054	distal	.	.	6
chr10:71377395-71377702	distal	.	.	2
chr10:71384313-71384598	distal	.	.	6
chr10:71443567-71443717	distal	.	.	2
chr10:71592585-71592795	distal	.	.	10
chr10:71609278-71609462	distal	.	.	2
chr10:71630602-71630752	distal	.	.	2
chr10:71765948-71766098	distal	.	.	4
chr10:71812035-71812241	distal	.	.	6
chr10:71871445-71871595	distal	.	.	6
chr10:71880533-71880683	distal	.	.	4
chr10:71888985-71889509	proximal	ENSG00000289592	.	4
chr10:71896906-71897165	distal	.	.	4
chr10:72028183-72028333	distal	.	.	6
chr10:72215903-72216173	proximal	ANAPC16	.	4
chr10:72216297-72216447	proximal	ANAPC16,ASCC1	.	8
chr10:72255152-72255359	distal	.	.	2
chr10:72272870-72273393	proximal	DDIT4,ENSG00000289506	.	16
chr10:72273482-72273997	proximal	DDIT4,ENSG00000289506	.	8
chr10:72297668-72298456	distal	.	.	2
chr10:72332061-72332412	distal	.	.	6
chr10:72337166-72337326	distal	.	.	4
chr10:72340550-72340757	distal	.	.	8
chr10:72679088-72679238	distal	.	.	12
chr10:72691979-72692226	proximal	MCU	.	4
chr10:72711869-72712019	distal	.	.	2
chr10:73022177-73022327	distal	.	.	8
